Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Erratum to: Influence of acquired obesity on coronary vessel wall late gadolinium enhancement in discordant monozygote twins","European Radiology","","27","11","10.1007/s00330-017-4884-y","Marcus R. MakowskiChristian H. P. JansenUllrich EbersbergerTobias SchaeffterReza RazaviMassimo ManginoTim D. SpectorRene M. BotnarGerald F. Greil","2017","http://link.springer.com/article/10.1007/s00330-017-4884-y","Article"
"Erratum to: Altered intrinsic brain activity after chemotherapy in patients with gastric cancer: A preliminary study","European Radiology","","27","7","10.1007/s00330-017-4748-5","Hyun Gi KimNa-Young ShinYunjin BakKyung Ran KimYoung-Chul JungKyunghwa HanSeung-Koo LeeSoo Mee Lim","2017","http://link.springer.com/article/10.1007/s00330-017-4748-5","Article"
"Erratum to: Radiomic features from the peritumoral brain parenchyma on treatment-naïve multi-parametric MR imaging predict long versus short-term survival in glioblastoma multiforme: Preliminary findings","European Radiology","","27","10","10.1007/s00330-017-4815-y","Prateek PrasannaJay PatelSasan PartoviAnant MadabhushiPallavi Tiwari","2017","http://link.springer.com/article/10.1007/s00330-017-4815-y","Article"
"Erratum to: High rates of clinically relevant incidental findings by total-body CT scanning in trauma patients: Results of the REACT-2 trial","European Radiology","","27","6","10.1007/s00330-016-4652-4","K. TreskesS. A. BosL. F. M. BeenenJ. C. SierinkM. J. R. EdwardsB. J. A. BeukerG. S. R. MuradinJ. HohmannJ. S. K. LuitseM. W. HollmannM. G. W. DijkgraafJ. C. Goslings","2017","http://link.springer.com/article/10.1007/s00330-016-4652-4","Article"
"Erratum to: Aiming for a shorter rheumatoid arthritis MRI protocol: can contrast-enhanced MRI replace T2 for the detection of bone marrow oedema?","European Radiology","","27","3","10.1007/s00330-016-4460-x","Wouter StompAnnemarie KrabbenDésirée van der HeijdeTom W. J. HuizingaJohan L. BloemAnnette H. M. van der Helm-van MilMonique Reijnierse","2017","http://link.springer.com/article/10.1007/s00330-016-4460-x","Article"
"European Radiology","European Radiology","","1 / 1991 - 28 / 2018","","","","","http://link.springer.com/journal/330","Journal"
"Ultrasound-ultrasound image overlay fusion improves real-time control of radiofrequency ablation margin in the treatment of hepatocellular carcinoma","European Radiology","","","","10.1007/s00330-017-5162-8","Yasunori MinamiTomohiro MinamiSatoru HagiwaraHiroshi IdaKazuomi UeshimaNaoshi NishidaTakamichi MurakamiMasatoshi Kudo","2017","http://link.springer.com/article/10.1007/s00330-017-5162-8","Article"
"Evaluation of fast highly undersampled contrast-enhanced MR angiography (sparse CE-MRA) in intracranial applications – initial study","European Radiology","","27","3","10.1007/s00330-016-4398-z","Marcel GratzMarc SchlamannSophia GoerickeStefan MaderwaldHarald H. Quick","2017","http://link.springer.com/article/10.1007/s00330-016-4398-z","Article"
"Endoleak detection using single-acquisition split-bolus dual-energy computer tomography (DECT)","European Radiology","","27","4","10.1007/s00330-016-4480-6","D. JavorA. WressneggerS. UnterhumerK. KollndorferR. NolzD. BeitzkeC. Loewe","2017","http://link.springer.com/article/10.1007/s00330-016-4480-6","Article"
"Comparison of the effects of model-based iterative reconstruction and filtered back projection algorithms on software measurements in pulmonary subsolid nodules","European Radiology","","27","8","10.1007/s00330-016-4716-5","Julien G. CohenHyungjin KimSu Bin ParkBram van GinnekenGilbert R. FerrettiChang Hyun LeeJin Mo GooChang Min Park","2017","http://link.springer.com/article/10.1007/s00330-016-4716-5","Article"
"Sequential SPECT/CT imaging starting with stress SPECT in patients with left bundle branch block suspected for coronary artery disease","European Radiology","","27","1","10.1007/s00330-016-4381-8","Elsemiek M. EngbersJorik R. TimmerMohamed MoudenSiert KnollemaPieter L. JagerJan Paul Ottervanger","2017","http://link.springer.com/article/10.1007/s00330-016-4381-8","Article"
"Comparing different methods for estimating radiation dose to the conceptus","European Radiology","","27","2","10.1007/s00330-016-4389-0","X. Lopez-RendonM. S. WalgraeveS. WoussenA. DedulleG. ZhangH. BosmansF. Zanca","2017","http://link.springer.com/article/10.1007/s00330-016-4389-0","Article"
"Suspicious breast calcifications undergoing stereotactic biopsy in women ages 70 and over: Breast cancer incidence by BI-RADS descriptors","European Radiology","","27","6","10.1007/s00330-016-4617-7","Lars J. GrimmDavid Y. JohnsonKaren S. JohnsonJay A. BakerMary Scott SooE. Shelley HwangSujata V. Ghate","2017","http://link.springer.com/article/10.1007/s00330-016-4617-7","Article"
"Accuracy of bone mineral density quantification using dual-layer spectral detector CT: a phantom study","European Radiology","","27","10","10.1007/s00330-017-4801-4","Robbert W. van HamersveltArnold M. R. SchilhamKlaus EngelkeAnnemarie M. den HarderBart de KeizerHarald J. VerhaarTim LeinerPim A. de JongMartin J. Willemink","2017","http://link.springer.com/article/10.1007/s00330-017-4801-4","Article"
"MR-guided percutaneous biopsy of solitary pulmonary lesions using a 1.0-T open high-field MRI scanner with respiratory gating","European Radiology","","27","4","10.1007/s00330-016-4518-9","Ming LiuJie HuangYujun XuXiangmeng HeLei LiYubo LüQiang LiuRoberto Blanco SequeirosChengli Li","2017","http://link.springer.com/article/10.1007/s00330-016-4518-9","Article"
"Round-the-clock performance of coronary CT angiography for suspected acute coronary syndrome: Results from the BEACON trial","European Radiology","","","","10.1007/s00330-017-5082-7","Marisa M. LubbersAdmir DedicAkira KurataMarcel DijkshoornJeroen SchaapJeroen LammersEvert J. LamfersBenno J. RensingRichard L. BraamHendrik M. NathoeJohannes C. PostPleunie P. RoodCarl J. SchultzAdriaan MoelkerMohamed OuhlousBas M. van Dalen","2017","http://link.springer.com/article/10.1007/s00330-017-5082-7","Article"
"Intravenous injection of gadobutrol in an epidemiological study group did not lead to a difference in relative signal intensities of certain brain structures after 5 years","European Radiology","","27","2","10.1007/s00330-016-4418-z","Marie-Luise KromreyKim Rouven LiedtkeTill IttermannSönke LangnerMichael KirschWerner WeitschiesJens-Peter Kühn","2017","http://link.springer.com/article/10.1007/s00330-016-4418-z","Article"
"Digital mammography screening: sensitivity of the programme dependent on breast density","European Radiology","","27","7","10.1007/s00330-016-4636-4","Stefanie WeigelW. HeindelJ. HeidrichH.-W. HenseO. Heidinger","2017","http://link.springer.com/article/10.1007/s00330-016-4636-4","Article"
"The relationship of cancer characteristics and patient outcome with time to lung cancer diagnosis after an abnormal screening CT","European Radiology","","27","12","10.1007/s00330-017-4886-9","Sushilkumar K. SonavanePaul PinskyJubal Watts JrDavid S. GieradaReginald MundenSatinder P. SinghHrudaya Nath","2017","http://link.springer.com/article/10.1007/s00330-017-4886-9","Article"
"Assessment of patency capsule retention using MR diffusion-weighted imaging","European Radiology","","27","12","10.1007/s00330-017-4857-1","Eyal KlangUri KopylovShomron Ben-HorinAdi LahatDoron YablecovitchNoa RozendornRami EliakimMichal Marianne Amitai","2017","http://link.springer.com/article/10.1007/s00330-017-4857-1","Article"
"Lung perfusion characteristics in pulmonary arterial hypertension (PAH) and peripheral forms of chronic thromboembolic pulmonary hypertension (pCTEPH): Dual-energy CT experience in 31 patients","European Radiology","","27","4","10.1007/s00330-016-4500-6","Jessica GiordanoSuonita KhungAlain DuhamelClaude Hossein-FoucherDimitri BellèvreNicolas LamblinJacques RemyMartine Remy-Jardin","2017","http://link.springer.com/article/10.1007/s00330-016-4500-6","Article"
"An evaluation of morphological and functional multi-parametric MRI sequences in classifying non-muscle and muscle invasive bladder cancer","European Radiology","","27","9","10.1007/s00330-017-4758-3","Valeria PanebiancoEttore De BerardinisGiovanni BarchettiGiuseppe SimoneConstantino LeonardoMarcello Domenico GromponeMaurizio Del MonteDavide CaranoMichele GallucciJames CattoCarlo Catalano","2017","http://link.springer.com/article/10.1007/s00330-017-4758-3","Article"
"Ultrasound assessment of the posterior circumflex humeral artery in elite volleyball players: Aneurysm prevalence, anatomy, branching pattern and vessel characteristics","European Radiology","","27","3","10.1007/s00330-016-4401-8","Daan van de PolMario MaasAart TerpstraMarja Pannekoek-HekmanSena AlaeikhanehshirP. Paul F. M. KuijerR. Nils Planken","2017","http://link.springer.com/article/10.1007/s00330-016-4401-8","Article"
"Usefulness of colour Doppler flow imaging in the management of lacrimal gland lesions","European Radiology","","27","2","10.1007/s00330-016-4438-8","A. LeclerM. BoucennaF. LafitteP. KoskasE. NauP. V. JacometO. GalatoireS. MoraxM. PuttermanF. MannF. HéranJ. C. SadikH. PicardO. Bergès","2017","http://link.springer.com/article/10.1007/s00330-016-4438-8","Article"
"Quantitative ultrasound mapping of regional variations in shear wave speeds of the aging Achilles tendon","European Radiology","","27","2","10.1007/s00330-016-4409-0","Laura Chernak SlaneJack MartinRyan DeWallDarryl ThelenKenneth Lee","2017","http://link.springer.com/article/10.1007/s00330-016-4409-0","Article"
"The role of T1 perfusion-based classification in magnetic resonance-guided high-intensity focused ultrasound ablation of uterine fibroids","European Radiology","","27","12","10.1007/s00330-017-4885-x","Bilgin KeserciNguyen Minh Duc","2017","http://link.springer.com/article/10.1007/s00330-017-4885-x","Article"
"Fat necrosis after abdominal surgery: A pitfall in interpretation of FDG-PET/CT","European Radiology","","","","10.1007/s00330-017-5201-5","Tima DavidsonEyal LotanEyal KlangJohnatan NissanJeffrey GoldsteinElinor GoshenSimona Ben-HaimSara ApterBar Chikman","2017","http://link.springer.com/article/10.1007/s00330-017-5201-5","Article"
"Yield of chest X-ray tuberculosis screening of immigrants during the European refugee crisis of 2015: a single-centre experience","European Radiology","","27","8","10.1007/s00330-016-4684-9","Julius Matthias WeinrichRoland DielMarkus SauerFrank Oliver HenesKaren Meywald-WalterGerhard AdamGerhard SchönPeter Bannas","2017","http://link.springer.com/article/10.1007/s00330-016-4684-9","Article"
"25th Anniversary of European Radiology","European Radiology","","27","1","10.1007/s00330-016-4655-1","Maximilian F. Reiser","2017","http://link.springer.com/article/10.1007/s00330-016-4655-1","Article"
"Stent-Retriever Thrombectomy for Acute Anterior Ischemic Stroke with Tandem Occlusion: A Systematic Review and Meta-Analysis","European Radiology","","27","1","10.1007/s00330-016-4338-y","Rotem Sivan-HoffmannBenjamin GoryXavier ArmoiryMayank GoyalRoberto RivaPaul Emile LabeyrieAnne-Claire LukaszewiczJean-Jacques LehotLaurent DerexFrancis Turjman","2017","http://link.springer.com/article/10.1007/s00330-016-4338-y","Article"
"Repeated intravenous administration of gadobutrol does not lead to increased signal intensity on unenhanced T1-weighted images—a voxel-based whole brain analysis","European Radiology","","27","9","10.1007/s00330-017-4777-0","Soenke LangnerMarie-Luise KromreyJens-Peter KuehnMatthias GrotheMartin Domin","2017","http://link.springer.com/article/10.1007/s00330-017-4777-0","Article"
"Safety and efficacy of multilevel vertebroplasty for painful osteolytic spinal metastases: a single-centre experience","European Radiology","","27","8","10.1007/s00330-016-4683-x","Jian-Jun ZhangYan ZhouHai-Yan HuYuan-Jue SunYong-Gang WangYi-Feng GuChun-Gen WuZan ShenYang Yao","2017","http://link.springer.com/article/10.1007/s00330-016-4683-x","Article"
"Comparison of visibility of circumscribed masses on Digital Breast Tomosynthesis (DBT) and 2D mammography: are circumscribed masses better visualized and assured of being benign on DBT?","European Radiology","","27","2","10.1007/s00330-016-4420-5","Kazuaki NakashimaTakayoshi UematsuTakahiro ItohKaoru TakahashiSeiichirou NishimuraTomomi HayashiTakashi Sugino","2017","http://link.springer.com/article/10.1007/s00330-016-4420-5","Article"
"Diffusion-weighted imaging versus contrast-enhanced MR imaging for the differentiation of renal oncocytomas and chromophobe renal cell carcinomas","European Radiology","","27","12","10.1007/s00330-017-4906-9","Yan ZhongHaiyi WangYanguang ShenAitao GuoJia WangSuhai KangLu MaJingjing PanHuiyi Ye","2017","http://link.springer.com/article/10.1007/s00330-017-4906-9","Article"
"The intervertebral disc, the endplates and the vertebral bone marrow as a unit in the process of degeneration","European Radiology","","27","6","10.1007/s00330-016-4584-z","Nadja A. Farshad-AmackerAlexander HughesRichard J. HerzogBurkhardt SeifertMazda Farshad","2017","http://link.springer.com/article/10.1007/s00330-016-4584-z","Article"
"In vivo effects of bupivacaine and gadobutrol on the intervertebral disc following discoblock and discography: a histological analysis","European Radiology","","27","1","10.1007/s00330-016-4358-7","Patrick StrubeBerit M. PfitznerFlorian StreitparthTony HartwigMichael Putzier","2017","http://link.springer.com/article/10.1007/s00330-016-4358-7","Article"
"The longitudinal effect of ejaculation on seminal vesicle fluid volume and whole-prostate ADC as measured on prostate MRI","European Radiology","","27","12","10.1007/s00330-017-4905-x","Tristan BarrettJames TannerAndrew B. GillRhys A. SloughJames WasonFerdia A. Gallagher","2017","http://link.springer.com/article/10.1007/s00330-017-4905-x","Article"
"Chronic thromboembolic pulmonary hypertension: Evaluation of 2D-perfusion angiography in patients who undergo balloon pulmonary angioplasty","European Radiology","","27","10","10.1007/s00330-017-4806-z","Sabine K. MaschkeJulius RenneThomas WernckeKaren M. OlssonMarius M. HoeperFrank K. WackerBernhard C. MeyerJan B. Hinrichs","2017","http://link.springer.com/article/10.1007/s00330-017-4806-z","Article"
"Ultrasonography has a diagnostic value in the assessment of cervical radiculopathy: A prospective pilot study","European Radiology","","27","8","10.1007/s00330-016-4704-9","Mikinobu TakeuchiNorimitsu WakaoAtsuhiko HirasawaKenta MurotaniMitsuhiro KamiyaKoji OsukaMasakazu Takayasu","2017","http://link.springer.com/article/10.1007/s00330-016-4704-9","Article"
"Percutaneous low-pressure bone stenting to control cement deposition in extensive lytic lesions","European Radiology","","27","9","10.1007/s00330-016-4703-x","Francois H. CornelisFrancois PetitpierreThierry FabreOlivier GilleNicolas AmorettiOlivier Hauger","2017","http://link.springer.com/article/10.1007/s00330-016-4703-x","Article"
"Evaluation of an adaptive detector collimation for prospectively ECG-triggered coronary CT angiography with third-generation dual-source CT","European Radiology","","","","10.1007/s00330-017-5177-1","Michael MesserliPatricia DewesJan-Erik ScholtzChristophe ArendtSimon WildermuthThomas J. VoglRalf W. Bauer","2017","http://link.springer.com/article/10.1007/s00330-017-5177-1","Article"
"Can mechanical imaging increase the specificity of mammography screening?","European Radiology","","27","8","10.1007/s00330-016-4723-6","Magnus DustlerDaniel FörnvikPontus TimbergIngvar AnderssonHannie PeterssonHåkan BrorsonAnders TingbergSophia Zackrisson","2017","http://link.springer.com/article/10.1007/s00330-016-4723-6","Article"
"4D flow MR imaging of the portal venous system: a feasibility study in children","European Radiology","","27","2","10.1007/s00330-016-4396-1","Keyur ParekhMichael MarklMichael RoseSusanne SchnellAndrada PopescuCynthia K. Rigsby","2017","http://link.springer.com/article/10.1007/s00330-016-4396-1","Article"
"Assessment of pisotriquetral misalignment with magnetic resonance imaging: Is it associated with trauma?","European Radiology","","27","7","10.1007/s00330-016-4624-8","Hee-Dong ChaeHye Jin YooSung Hwan HongJa-Young ChoiHeung Sik Kang","2017","http://link.springer.com/article/10.1007/s00330-016-4624-8","Article"
"Cardiovascular magnetic resonance myocardial T1 mapping to detect and quantify cardiac involvement in familial amyloid polyneuropathy","European Radiology","","27","11","10.1007/s00330-017-4845-5","Seitaro OdaDaisuke UtsunomiyaKosuke MoritaTakeshi NakauraHideaki YukiMasafumi KidohKenichiro HirataNarumi TaguchiNoriko TsudaShinya ShiraishiTomohiro NamimotoKyoko HirakawaSeiji TakashioYasuhiro IzumiyaMegumi YamamuroSeiji Hokimoto","2017","http://link.springer.com/article/10.1007/s00330-017-4845-5","Article"
"MRI assessment of bone marrow oedema in the sacroiliac joints of patients with spondyloarthritis: is the SPAIR T2w technique comparable to STIR?","European Radiology","","27","9","10.1007/s00330-017-4746-7","Vitor Faeda DaltoRodrigo Luppino AssadMichel Daoud CremaPaulo Louzada-JuniorMarcello Henrique Nogueira-Barbosa","2017","http://link.springer.com/article/10.1007/s00330-017-4746-7","Article"
"Restrictive allograft syndrome after lung transplantation: new radiological insights","European Radiology","","27","7","10.1007/s00330-016-4643-5","Adriana DubbeldamCaroline BarthelsJohan CoolenJohny A. VerschakelenStijn E. VerledenRobin VosGeert M. VerledenWalter De Wever","2017","http://link.springer.com/article/10.1007/s00330-016-4643-5","Article"
"Comparison of polyvinyl alcohol copolymer with detachable balloons for the embolisation of direct carotid cavernous fistula: a single-centre experience","European Radiology","","27","11","10.1007/s00330-017-4864-2","Xuying HeChuanzhi DuanLingfeng LaiXin ZhangZhenjun LiXifeng LiTielin Li","2017","http://link.springer.com/article/10.1007/s00330-017-4864-2","Article"
"Non-invasive imaging of myocardial bridge by coronary computed tomography angiography: the value of transluminal attenuation gradient to predict significant dynamic compression","European Radiology","","27","5","10.1007/s00330-016-4544-7","Yuehua LiMengmeng YuJiayin ZhangMinghua LiZhigang LuMeng Wei","2017","http://link.springer.com/article/10.1007/s00330-016-4544-7","Article"
"Altered signal intensity of active enhancing inflammatory lesions using post-contrast double inversion recovery MR sequence","European Radiology","","27","2","10.1007/s00330-016-4416-1","Jérôme HodelSammy BadrOlivier OutteryckPaul LebertDavid ChechinMohamed Amine BenadjaoudJean-Pierre PruvoPatrick VermerschXavier Leclerc","2017","http://link.springer.com/article/10.1007/s00330-016-4416-1","Article"
"Low contrast detectability and spatial resolution with model-based Iterative reconstructions of MDCT images: a phantom and cadaveric study","European Radiology","","27","3","10.1007/s00330-016-4444-x","Domitille MillonAlain VlassenbroekAline G. Van MaanenSamantha E. CambierEmmanuel E. Coche","2017","http://link.springer.com/article/10.1007/s00330-016-4444-x","Article"
"Post-treatment changes of tumour perfusion parameters can help to predict survival in patients with high-grade astrocytoma","European Radiology","","27","8","10.1007/s00330-016-4699-2","Roberto Sanz-RequenaAntonio J. Revert-VenturaGracián García-MartíFares Salamé-GamarraAlexandre Pérez-GirbésEnrique Mollá-OlmosLuis Martí-Bonmatí","2017","http://link.springer.com/article/10.1007/s00330-016-4699-2","Article"
"Robust evidence for long-term survival with 90Y radioembolization in chemorefractory liver-predominant metastatic colorectal cancer","European Radiology","","27","1","10.1007/s00330-016-4345-z","T. F. JakobsK. J. PaprottkaF. RaeßlerF. StroblS. LehnerH. IlhanC. G. TrummW. P. FendlerW. SommerP. M. Paprottka","2017","http://link.springer.com/article/10.1007/s00330-016-4345-z","Article"
"Use of whole body CT to detect patterns of CPR-related injuries after sudden cardiac arrest","European Radiology","","","","10.1007/s00330-017-5117-0","Gregor M. DunhamAlexandre Perez-GirbesFerdia BolsterKellie SheehanKen F. Linnau","2017","http://link.springer.com/article/10.1007/s00330-017-5117-0","Article"
"Multiparametric voxel-based analyses of standardized uptake values and apparent diffusion coefficients of soft-tissue tumours with a positron emission tomography/magnetic resonance system: Preliminary results","European Radiology","","27","12","10.1007/s00330-017-4912-y","Koji SagiyamaYuji WatanabeRyotaro KameiSungtak HongSatoshi KawanamiYoshihiro MatsumotoHiroshi Honda","2017","http://link.springer.com/article/10.1007/s00330-017-4912-y","Article"
"Assessment of deep myometrial invasion of endometrial cancer on MRI: added value of second-opinion interpretations by radiologists subspecialized in gynaecologic oncology","European Radiology","","27","5","10.1007/s00330-016-4582-1","Sungmin WooSang Youn KimJeong Yeon ChoSeung Hyup Kim","2017","http://link.springer.com/article/10.1007/s00330-016-4582-1","Article"
"Radiology resident MR and CT image analysis skill assessment using an interactive volumetric simulation tool – the RadioLOG project","European Radiology","","27","2","10.1007/s00330-016-4384-5","Pedro Augusto Gondim TeixeiraRomain CendreGabriela HossuChristophe LeplatJacques FelblingerAlain BlumMarc Braun","2017","http://link.springer.com/article/10.1007/s00330-016-4384-5","Article"
"Percutaneous MR-guided focal cryoablation for recurrent prostate cancer following radiation therapy: retrospective analysis of iceball margins and outcomes","European Radiology","","27","11","10.1007/s00330-017-4833-9","Christiaan G. OverduinSjoerd F. M. JenniskensJ. P. Michiel SedelaarJoyce G. R. BomersJurgen J. Fütterer","2017","http://link.springer.com/article/10.1007/s00330-017-4833-9","Article"
"Liver stiffness measurements with supersonic shear wave elastography in the diagnosis of biliary atresia: a comparative study with grey-scale US","European Radiology","","27","8","10.1007/s00330-016-4710-y","Lu-yao ZhouHong JiangQuan-yuan ShanDong ChenXiao-na LinBao-xian LiuXiao-yan Xie","2017","http://link.springer.com/article/10.1007/s00330-016-4710-y","Article"
"Accuracy of computed tomography for selecting the revascularization method based on SYNTAX score II","European Radiology","","","","10.1007/s00330-017-5184-2","Si Eun LeeKyunghwa HanJin HurYoung Jin KimHye-Jeong LeeYoo Jin HongDong Jin ImByoung Wook Choi","2017","http://link.springer.com/article/10.1007/s00330-017-5184-2","Article"
"Evaluation of the R2* value in invasive ductal carcinoma with respect to hypoxic-related prognostic factors using iterative decomposition of water and fat with echo asymmetry and least-squares emission (IDEAL)","European Radiology","","27","10","10.1007/s00330-017-4832-x","Mari MiyataTakatoshi AokiShohei ShimajiriAtsuji MatsuyamaShunsuke KinoshitaMasami FujiiTakefumi KatsukiYuzuru InoueYoshika NagataYuko TashimaYukunori Korogi","2017","http://link.springer.com/article/10.1007/s00330-017-4832-x","Article"
"Head CT: Image quality improvement with ASIR-V using a reduced radiation dose protocol for children","European Radiology","","27","9","10.1007/s00330-017-4733-z","Hyun Gi KimHo-Joon LeeSeung-Koo LeeHyun Ji KimMyung-Joon Kim","2017","http://link.springer.com/article/10.1007/s00330-017-4733-z","Article"
"Utility of real-time prospective motion correction (PROMO) for segmentation of cerebral cortex on 3D T1-weighted imaging: Voxel-based morphometry analysis for uncooperative patients","European Radiology","","27","8","10.1007/s00330-016-4730-7","Natsuki IgataShingo KakedaKeita WatanabeAtsushi NozakiDan RettmannHidekuni NarimatsuSatoru IdeOsamu AbeYukunori Korogi","2017","http://link.springer.com/article/10.1007/s00330-016-4730-7","Article"
"Technical feasibility and tissue reaction after silicone-covered biodegradable magnesium stent insertion in the oesophagus: a primary study in vitro and in vivo","European Radiology","","27","6","10.1007/s00330-016-4602-1","Yue-Qi ZhuLaura EdmondsLi-Ming WeiRei-La ZhengRuo-Yu ChengWen-Guo CuiYing-Sheng Cheng","2017","http://link.springer.com/article/10.1007/s00330-016-4602-1","Article"
"Letter to the Editor re: Should fat in the radiofrequency ablation zone of hepatocellular adenomas raise suspicion for residual tumour?","European Radiology","","27","6","10.1007/s00330-016-4639-1","Maxime RonotJulie BenzimraDamien BoudaValérie Vilgrain","2017","http://link.springer.com/article/10.1007/s00330-016-4639-1","Article"
"Recommendations for radioembolisation after liver surgery using yttrium-90 resin microspheres based on a survey of an international expert panel","European Radiology","","27","12","10.1007/s00330-017-4889-6","Morsal SamimLinde M. van VeenendaalManon N. G. J. A. BraatAndor F. van den HovenRichard Van HillegersbergBruno SangroYung Hsiang KaoDave LiuJohn D. LouieDaniel Y. SzeSteven C. RoseDaniel B. BrownHojjat AhmadzadehfarEdward KimMaurice A. A. J. van den BoschMarnix G. E. H. Lam","2017","http://link.springer.com/article/10.1007/s00330-017-4889-6","Article"
"Comparison between gadolinium-enhanced 2D T1-weighted gradient-echo and spin-echo sequences in the detection of active multiple sclerosis lesions on 3.0T MRI","European Radiology","","27","4","10.1007/s00330-016-4503-3","F. X. AymerichC. AugerP. Alcaide-LeonD. ParetoE. HuergaJ. F. CorralR. MitjanaJ. Sastre-GarrigaX. MontalbanA. Rovira","2017","http://link.springer.com/article/10.1007/s00330-016-4503-3","Article"
"Bony morphology of the hip in professional ballet dancers compared to athletes","European Radiology","","27","7","10.1007/s00330-016-4667-x","Susan MayesApril-Rose FerrisPeter SmithAndrew GarnhamJill Cook","2017","http://link.springer.com/article/10.1007/s00330-016-4667-x","Article"
"The role of 18F-fluorodeoxyglucose uptake of bone marrow on PET/CT in predicting clinical outcomes in non-small cell lung cancer patients treated with chemoradiotherapy","European Radiology","","27","5","10.1007/s00330-016-4568-z","Jeong Won LeeKi Hyun SeoEun-Seog KimSang Mi Lee","2017","http://link.springer.com/article/10.1007/s00330-016-4568-z","Article"
