licence_ref,licence_ref_n,year,issn,all_published,publisher,journal
NA,NA,2013,0001-9720,70,Cambridge University Press (CUP),Africa
NA,NA,2013,0001-9909,69,Oxford University Press (OUP),African Affairs
NA,NA,2013,0002-0729,228,Oxford University Press (OUP),Age and Ageing
NA,NA,2013,0002-5240,46,Springer Nature,Algebra universalis
http://doi.wiley.com/10.1002/tdm_license_1.1,158,2013,0002-7294,158,Wiley-Blackwell,American Anthropologist
http://doi.wiley.com/10.1002/tdm_license_1.1,618,2013,0002-7820,618,Wiley-Blackwell,Journal of the American Ceramic Society
http://pubs.acs.org/page/policy/authorchoice_termsofuse.html,88,2013,0002-7863,2947,American Chemical Society (ACS),Journal of the American Chemical Society
http://pubs.acs.org/page/policy/authorchoice_ccby_termsofuse.html,33,2013,0002-7863,2947,American Chemical Society (ACS),Journal of the American Chemical Society
http://doi.wiley.com/10.1002/tdm_license_1.1,452,2013,0002-8614,556,Wiley-Blackwell,Journal of the American Geriatrics Society
http://doi.wiley.com/10.1002/tdm_license_1,104,2013,0002-8614,556,Wiley-Blackwell,Journal of the American Geriatrics Society
http://onlinelibrary.wiley.com/termsAndConditions,102,2013,0002-8614,556,Wiley-Blackwell,Journal of the American Geriatrics Society
http://creativecommons.org/licenses/by/4.0/,2,2013,0002-8614,556,Wiley-Blackwell,Journal of the American Geriatrics Society
http://www.elsevier.com/tdm/userlicense/1.0/,352,2013,0002-8703,352,Elsevier BV,American Heart Journal
http://creativecommons.org/licenses/by-nc-nd/3.0/,4,2013,0002-8703,352,Elsevier BV,American Heart Journal
http://www.elsevier.com/open-access/userlicense/1.0/,2,2013,0002-8703,352,Elsevier BV,American Heart Journal
http://creativecommons.org/licenses/by-nc-sa/3.0/,2,2013,0002-8703,352,Elsevier BV,American Heart Journal
http://creativecommons.org/licenses/by-nc-nd/4.0/,2,2013,0002-8703,352,Elsevier BV,American Heart Journal
NA,NA,2013,0002-9122,212,Botanical Society of America,American Journal of Botany
http://www.elsevier.com/tdm/userlicense/1.0/,969,2013,0002-9149,969,Elsevier BV,The American Journal of Cardiology
http://creativecommons.org/licenses/by-nc-nd/3.0/,8,2013,0002-9149,969,Elsevier BV,The American Journal of Cardiology
http://creativecommons.org/licenses/by/3.0/,3,2013,0002-9149,969,Elsevier BV,The American Journal of Cardiology
http://creativecommons.org/licenses/by-nc-nd/4.0/,1,2013,0002-9149,969,Elsevier BV,The American Journal of Cardiology
NA,NA,2013,0002-9165,458,American Society for Nutrition,American Journal of Clinical Nutrition
NA,NA,2013,0002-9173,467,Oxford University Press (OUP),American Journal of Clinical Pathology
NA,NA,2013,0002-9262,594,Oxford University Press (OUP),American Journal of Epidemiology
NA,NA,2013,0002-9270,455,Springer Nature,The American Journal of Gastroenterology
http://www.elsevier.com/tdm/userlicense/1.0/,259,2013,0002-9297,259,Elsevier BV,The American Journal of Human Genetics
http://www.elsevier.com/open-access/userlicense/1.0/,233,2013,0002-9297,259,Elsevier BV,The American Journal of Human Genetics
http://creativecommons.org/licenses/by/4.0/,10,2013,0002-9297,259,Elsevier BV,The American Journal of Human Genetics
http://creativecommons.org/licenses/by/3.0/,8,2013,0002-9297,259,Elsevier BV,The American Journal of Human Genetics
http://creativecommons.org/licenses/by-nc-nd/3.0/,6,2013,0002-9297,259,Elsevier BV,The American Journal of Human Genetics
http://creativecommons.org/licenses/by-nc-nd/4.0/,2,2013,0002-9297,259,Elsevier BV,The American Journal of Human Genetics
http://www.elsevier.com/tdm/userlicense/1.0/,456,2013,0002-9343,456,Elsevier BV,The American Journal of Medicine
http://creativecommons.org/licenses/by-nc-nd/3.0/,3,2013,0002-9343,456,Elsevier BV,The American Journal of Medicine
http://creativecommons.org/licenses/by/3.0/,1,2013,0002-9343,456,Elsevier BV,The American Journal of Medicine
http://www.elsevier.com/tdm/userlicense/1.0/,1358,2013,0002-9378,1358,Elsevier BV,American Journal of Obstetrics and Gynecology
http://www.elsevier.com/open-access/userlicense/1.0/,4,2013,0002-9378,1358,Elsevier BV,American Journal of Obstetrics and Gynecology
http://creativecommons.org/licenses/by/4.0/,1,2013,0002-9378,1358,Elsevier BV,American Journal of Obstetrics and Gynecology
http://www.elsevier.com/tdm/userlicense/1.0/,428,2013,0002-9394,428,Elsevier BV,American Journal of Ophthalmology
http://creativecommons.org/licenses/by-nc-nd/3.0/,2,2013,0002-9394,428,Elsevier BV,American Journal of Ophthalmology
http://www.elsevier.com/open-access/userlicense/1.0/,1,2013,0002-9394,428,Elsevier BV,American Journal of Ophthalmology
http://www.elsevier.com/tdm/userlicense/1.0/,454,2013,0002-9440,454,Elsevier BV,The American Journal of Pathology
http://creativecommons.org/licenses/by-nc-nd/4.0/,249,2013,0002-9440,454,Elsevier BV,The American Journal of Pathology
http://doi.wiley.com/10.1002/tdm_license_1.1,255,2013,0002-9483,255,Wiley-Blackwell,American Journal of Physical Anthropology
NA,NA,2013,0002-953X,321,American Psychiatric Publishing,American Journal of Psychiatry
http://www.elsevier.com/tdm/userlicense/1.0/,250,2013,0002-9629,250,Elsevier BV,The American Journal of the Medical Sciences
NA,NA,2013,0002-9637,442,American Society of Tropical Medicine and Hygiene,The American Journal of Tropical Medicine and Hygiene
NA,NA,2013,0003-0007,150,American Meteorological Society,Bulletin of the American Meteorological Society
NA,NA,2013,0003-004X,223,Mineralogical Society of America,American Mineralogist
NA,NA,2013,0003-0147,181,University of Chicago Press,The American Naturalist
NA,NA,2013,0003-021X,204,Springer Nature,Journal of the American Oil Chemists' Society
NA,NA,2013,0003-1232,22,Springer Nature,The American Sociologist
http://doi.wiley.com/10.1002/tdm_license_1.1,381,2013,0003-2409,416,Wiley-Blackwell,Anaesthesia
http://onlinelibrary.wiley.com/termsAndConditions,35,2013,0003-2409,416,Wiley-Blackwell,Anaesthesia
http://doi.wiley.com/10.1002/tdm_license_1,35,2013,0003-2409,416,Wiley-Blackwell,Anaesthesia
NA,NA,2013,0003-2417,139,Springer Nature,Der Anaesthesist
NA,NA,2013,0003-2654,1060,Royal Society of Chemistry (RSC),The Analyst
http://www.elsevier.com/tdm/userlicense/1.0/,189,2013,0003-2670,760,Elsevier BV,Analytica Chimica Acta
http://creativecommons.org/licenses/by-nc-nd/3.0/,3,2013,0003-2670,760,Elsevier BV,Analytica Chimica Acta
http://pubs.acs.org/page/policy/authorchoice_termsofuse.html,17,2013,0003-2700,1669,American Chemical Society (ACS),Analytical Chemistry
http://pubs.acs.org/page/policy/authorchoice_ccby_termsofuse.html,12,2013,0003-2700,1669,American Chemical Society (ACS),Analytical Chemistry
http://pubs.acs.org/page/policy/authorchoice_ccbyncnd_termsofuse.html,1,2013,0003-2700,1669,American Chemical Society (ACS),Analytical Chemistry
http://www.elsevier.com/tdm/userlicense/1.0/,312,2013,0003-3472,371,Elsevier BV,Animal Behaviour
http://creativecommons.org/licenses/by/3.0/,10,2013,0003-3472,371,Elsevier BV,Animal Behaviour
http://creativecommons.org/licenses/by-nc-nd/3.0/,7,2013,0003-3472,371,Elsevier BV,Animal Behaviour
http://creativecommons.org/licenses/by-nc-nd/4.0/,1,2013,0003-3472,371,Elsevier BV,Animal Behaviour
http://doi.wiley.com/10.1002/tdm_license_1.1,171,2013,0003-3804,171,Wiley-Blackwell,Annalen der Physik
NA,NA,2013,0003-4347,64,Springer Nature,annals of telecommunications - annales des télécommunications
http://doi.wiley.com/10.1002/tdm_license_1.1,50,2013,0003-4800,50,Wiley-Blackwell,Annals of Human Genetics
NA,NA,2013,0003-4894,126,SAGE Publications,"Annals of Otology, Rhinology & Laryngology"
http://www.elsevier.com/tdm/userlicense/1.0/,68,2013,0003-4916,195,Elsevier BV,Annals of Physics
http://creativecommons.org/licenses/by-nc-nd/3.0/,2,2013,0003-4916,195,Elsevier BV,Annals of Physics
http://creativecommons.org/licenses/by/3.0/,1,2013,0003-4916,195,Elsevier BV,Annals of Physics
NA,NA,2013,0003-4932,365,Ovid Technologies (Wolters Kluwer Health),Annals of Surgery
NA,NA,2013,0003-4967,7345,BMJ,Annals of the Rheumatic Diseases
NA,NA,2013,0003-598X,160,Cambridge University Press (CUP),Antiquity
NA,NA,2013,0003-6072,231,Springer Nature,Antonie van Leeuwenhoek
NA,NA,2013,0003-6811,279,Informa UK Limited,Applicable Analysis
http://www.elsevier.com/tdm/userlicense/1.0/,100,2013,0003-682X,198,Elsevier BV,Applied Acoustics
NA,NA,2013,0003-6846,462,Informa UK Limited,Applied Economics
NA,NA,2013,0003-6862,85,Springer Nature,Applied Entomology and Zoology
http://www.elsevier.com/tdm/userlicense/1.0/,93,2013,0003-6870,137,Elsevier BV,Applied Ergonomics
http://creativecommons.org/licenses/by/3.0/deed.en_US,11,2013,0003-6951,5475,AIP Publishing,Applied Physics Letters
http://creativecommons.org/licenses/by/4.0/,6,2013,0003-6951,5475,AIP Publishing,Applied Physics Letters
NA,NA,2013,0003-7028,228,SAGE Publications,Applied Spectroscopy
http://doi.wiley.com/10.1002/tdm_license_1.1,73,2013,0003-813X,73,Wiley-Blackwell,Archaeometry
NA,NA,2013,0003-8628,57,Informa UK Limited,Architectural Science Review
NA,NA,2013,0003-889X,121,Springer Nature,Archiv der Mathematik
NA,NA,2013,0003-9519,22,Springer Nature,Archive for History of Exact Sciences
NA,NA,2013,0003-9527,110,Springer Nature,Archive for Rational Mechanics and Analysis
http://www.elsevier.com/tdm/userlicense/1.0/,197,2013,0003-9861,232,Elsevier BV,Archives of Biochemistry and Biophysics
http://www.elsevier.com/open-access/userlicense/1.0/,7,2013,0003-9861,232,Elsevier BV,Archives of Biochemistry and Biophysics
http://creativecommons.org/licenses/by-nc-nd/3.0/,2,2013,0003-9861,232,Elsevier BV,Archives of Biochemistry and Biophysics
http://creativecommons.org/licenses/by-nc-sa/3.0/,1,2013,0003-9861,232,Elsevier BV,Archives of Biochemistry and Biophysics
NA,NA,2013,0003-9888,670,BMJ,Archives of Disease in Childhood
http://www.elsevier.com/tdm/userlicense/1.0/,532,2013,0003-9993,633,Elsevier BV,Archives of Physical Medicine and Rehabilitation
http://creativecommons.org/licenses/by-nc-nd/4.0/,4,2013,0003-9993,633,Elsevier BV,Archives of Physical Medicine and Rehabilitation
NA,NA,2013,0004-0002,187,Springer Nature,Archives of Sexual Behavior
NA,NA,2013,0004-069X,58,Springer Nature,Archivum Immunologiae et Therapiae Experimentalis
http://doi.wiley.com/10.1002/tdm_license_1.1,421,2013,0004-3591,421,Wiley-Blackwell,Arthritis & Rheumatism
NA,NA,2013,0004-5608,103,Informa UK Limited,Annals of the Association of American Geographers
NA,NA,2013,0004-5632,158,SAGE Publications,Annals of Clinical Biochemistry: An international journal of biochemistry and laboratory medicine
NA,NA,2013,0004-6361,1805,EDP Sciences,Astronomy & Astrophysics
NA,NA,2013,0004-640X,411,Springer Nature,Astrophysics and Space Science
NA,NA,2013,0004-8674,303,SAGE Publications,Australian & New Zealand Journal of Psychiatry
http://www.elsevier.com/tdm/userlicense/1.0/,147,2013,0005-1098,461,Elsevier BV,Automatica
http://www.elsevier.com/tdm/userlicense/1.0/,146,2013,0005-2728,146,Elsevier BV,Biochimica et Biophysica Acta (BBA) - Bioenergetics
http://www.elsevier.com/open-access/userlicense/1.0/,143,2013,0005-2728,146,Elsevier BV,Biochimica et Biophysica Acta (BBA) - Bioenergetics
http://creativecommons.org/licenses/by/3.0/,1,2013,0005-2728,146,Elsevier BV,Biochimica et Biophysica Acta (BBA) - Bioenergetics
http://creativecommons.org/licenses/by-nc-nd/4.0/,1,2013,0005-2728,146,Elsevier BV,Biochimica et Biophysica Acta (BBA) - Bioenergetics
http://creativecommons.org/licenses/by-nc-nd/3.0/,1,2013,0005-2728,146,Elsevier BV,Biochimica et Biophysica Acta (BBA) - Bioenergetics
http://www.elsevier.com/tdm/userlicense/1.0/,333,2013,0005-2736,333,Elsevier BV,Biochimica et Biophysica Acta (BBA) - Biomembranes
http://www.elsevier.com/open-access/userlicense/1.0/,325,2013,0005-2736,333,Elsevier BV,Biochimica et Biophysica Acta (BBA) - Biomembranes
http://creativecommons.org/licenses/by-nc-nd/3.0/,6,2013,0005-2736,333,Elsevier BV,Biochimica et Biophysica Acta (BBA) - Biomembranes
http://creativecommons.org/licenses/by/3.0/,2,2013,0005-2736,333,Elsevier BV,Biochimica et Biophysica Acta (BBA) - Biomembranes
http://www.elsevier.com/tdm/userlicense/1.0/,69,2013,0005-7894,69,Elsevier BV,Behavior Therapy
http://www.elsevier.com/tdm/userlicense/1.0/,73,2013,0005-7916,73,Elsevier BV,Journal of Behavior Therapy and Experimental Psychiatry
http://creativecommons.org/licenses/by/3.0/,2,2013,0005-7916,73,Elsevier BV,Journal of Behavior Therapy and Experimental Psychiatry
http://creativecommons.org/licenses/by/4.0/,1,2013,0005-7916,73,Elsevier BV,Journal of Behavior Therapy and Experimental Psychiatry
http://creativecommons.org/licenses/by-nc-nd/3.0/,1,2013,0005-7916,73,Elsevier BV,Journal of Behavior Therapy and Experimental Psychiatry
NA,NA,2013,0005-7959,77,Brill Academic Publishers,Behaviour
http://www.elsevier.com/tdm/userlicense/1.0/,87,2013,0005-7967,129,Elsevier BV,Behaviour Research and Therapy
http://creativecommons.org/licenses/by-nc-nd/3.0/,4,2013,0005-7967,129,Elsevier BV,Behaviour Research and Therapy
http://creativecommons.org/licenses/by/3.0/,3,2013,0005-7967,129,Elsevier BV,Behaviour Research and Therapy
http://creativecommons.org/licenses/by-nc-sa/3.0/,1,2013,0005-7967,129,Elsevier BV,Behaviour Research and Therapy
NA,NA,2013,0005-8912,117,Springer Nature,BHM Berg- und Hüttenmännische Monatshefte
http://www.elsevier.com/tdm/userlicense/1.0/,1692,2013,0006-291X,1741,Elsevier BV,Biochemical and Biophysical Research Communications
http://creativecommons.org/licenses/by-nc-nd/3.0/,29,2013,0006-291X,1741,Elsevier BV,Biochemical and Biophysical Research Communications
http://creativecommons.org/licenses/by/3.0/,27,2013,0006-291X,1741,Elsevier BV,Biochemical and Biophysical Research Communications
http://www.elsevier.com/open-access/userlicense/1.0/,9,2013,0006-291X,1741,Elsevier BV,Biochemical and Biophysical Research Communications
http://creativecommons.org/licenses/by-nc-sa/3.0/,5,2013,0006-291X,1741,Elsevier BV,Biochemical and Biophysical Research Communications
http://creativecommons.org/licenses/by-nc-nd/4.0/,3,2013,0006-291X,1741,Elsevier BV,Biochemical and Biophysical Research Communications
http://www.elsevier.com/tdm/userlicense/1.0/,220,2013,0006-2952,418,Elsevier BV,Biochemical Pharmacology
http://creativecommons.org/licenses/by-nc-nd/3.0/,5,2013,0006-2952,418,Elsevier BV,Biochemical Pharmacology
http://creativecommons.org/licenses/by/3.0/,3,2013,0006-2952,418,Elsevier BV,Biochemical Pharmacology
http://creativecommons.org/licenses/by-nc-sa/3.0/,2,2013,0006-2952,418,Elsevier BV,Biochemical Pharmacology
http://www.elsevier.com/open-access/userlicense/1.0/,1,2013,0006-2952,418,Elsevier BV,Biochemical Pharmacology
http://creativecommons.org/licenses/by/4.0/,1,2013,0006-2952,418,Elsevier BV,Biochemical Pharmacology
http://pubs.acs.org/page/policy/authorchoice_termsofuse.html,34,2013,0006-2960,940,American Chemical Society (ACS),Biochemistry
http://pubs.acs.org/page/policy/authorchoice_ccby_termsofuse.html,10,2013,0006-2960,940,American Chemical Society (ACS),Biochemistry
http://www.elsevier.com/tdm/userlicense/1.0/,463,2013,0006-3207,467,Elsevier BV,Biological Conservation
http://creativecommons.org/licenses/by-nc-nd/3.0/,10,2013,0006-3207,467,Elsevier BV,Biological Conservation
http://creativecommons.org/licenses/by/3.0/,2,2013,0006-3207,467,Elsevier BV,Biological Conservation
http://creativecommons.org/licenses/by-nc-sa/3.0/,2,2013,0006-3207,467,Elsevier BV,Biological Conservation
http://creativecommons.org/licenses/by-nc-nd/4.0/,1,2013,0006-3207,467,Elsevier BV,Biological Conservation
http://www.elsevier.com/tdm/userlicense/1.0/,492,2013,0006-3223,492,Elsevier BV,Biological Psychiatry
http://creativecommons.org/licenses/by/4.0/,4,2013,0006-3223,492,Elsevier BV,Biological Psychiatry
http://creativecommons.org/licenses/by-nc-nd/4.0/,2,2013,0006-3223,492,Elsevier BV,Biological Psychiatry
http://doi.wiley.com/10.1002/tdm_license_1.1,148,2013,0006-341X,148,Wiley-Blackwell,Biometrics
NA,NA,2013,0006-3444,73,Oxford University Press (OUP),Biometrika
http://www.elsevier.com/tdm/userlicense/1.0/,4225,2013,0006-3495,4225,Elsevier BV,Biophysical Journal
http://www.elsevier.com/open-access/userlicense/1.0/,4159,2013,0006-3495,4225,Elsevier BV,Biophysical Journal
http://creativecommons.org/licenses/by-nc-nd/3.0/,26,2013,0006-3495,4225,Elsevier BV,Biophysical Journal
http://creativecommons.org/licenses/by-nc-nd/4.0/,25,2013,0006-3495,4225,Elsevier BV,Biophysical Journal
http://creativecommons.org/licenses/by/3.0/,8,2013,0006-3495,4225,Elsevier BV,Biophysical Journal
http://creativecommons.org/licenses/by/4.0/,7,2013,0006-3495,4225,Elsevier BV,Biophysical Journal
http://doi.wiley.com/10.1002/tdm_license_1.1,193,2013,0006-3525,220,Wiley-Blackwell,Biopolymers
http://doi.wiley.com/10.1002/tdm_license_1,27,2013,0006-3525,220,Wiley-Blackwell,Biopolymers
http://onlinelibrary.wiley.com/termsAndConditions,24,2013,0006-3525,220,Wiley-Blackwell,Biopolymers
http://creativecommons.org/licenses/by/4.0/,2,2013,0006-3525,220,Wiley-Blackwell,Biopolymers
NA,NA,2013,0006-3568,281,Oxford University Press (OUP),BioScience
http://doi.wiley.com/10.1002/tdm_license_1.1,379,2013,0006-3592,379,Wiley-Blackwell,Biotechnology and Bioengineering
NA,NA,2013,0006-3657,76,Informa UK Limited,Bird Study
NA,NA,2013,0006-3835,54,Springer Nature,BIT Numerical Mathematics
NA,NA,2013,0006-4971,1451,American Society of Hematology,Blood
NA,NA,2013,0006-8314,99,Springer Nature,Boundary-Layer Meteorology
NA,NA,2013,0006-8950,415,Oxford University Press (OUP),Brain
http://www.elsevier.com/tdm/userlicense/1.0/,569,2013,0006-8993,724,Elsevier BV,Brain Research
http://creativecommons.org/licenses/by-nc-nd/3.0/,13,2013,0006-8993,724,Elsevier BV,Brain Research
http://www.elsevier.com/open-access/userlicense/1.0/,12,2013,0006-8993,724,Elsevier BV,Brain Research
http://creativecommons.org/licenses/by/3.0/,6,2013,0006-8993,724,Elsevier BV,Brain Research
http://creativecommons.org/licenses/by-nc-sa/3.0/,1,2013,0006-8993,724,Elsevier BV,Brain Research
http://creativecommons.org/licenses/by-nc-nd/4.0/,1,2013,0006-8993,724,Elsevier BV,Brain Research
NA,NA,2013,0007-0610,1232,Springer Nature,BDJ
NA,NA,2013,0007-0874,95,Cambridge University Press (CUP),The British Journal for the History of Science
NA,NA,2013,0007-0882,54,Oxford University Press (OUP),The British Journal for the Philosophy of Science
NA,NA,2013,0007-0912,655,Oxford University Press (OUP),British Journal of Anaesthesia
NA,NA,2013,0007-0920,856,Springer Nature,British Journal of Cancer
NA,NA,2013,0007-0955,84,Oxford University Press (OUP),British Journal of Criminology
http://doi.wiley.com/10.1002/tdm_license_1.1,534,2013,0007-0963,534,Wiley-Blackwell,British Journal of Dermatology
NA,NA,2013,0007-1005,63,Informa UK Limited,British Journal of Educational Studies
http://doi.wiley.com/10.1002/tdm_license_1.1,501,2013,0007-1048,513,Wiley-Blackwell,British Journal of Haematology
http://onlinelibrary.wiley.com/termsAndConditions,12,2013,0007-1048,513,Wiley-Blackwell,British Journal of Haematology
http://doi.wiley.com/10.1002/tdm_license_1,12,2013,0007-1048,513,Wiley-Blackwell,British Journal of Haematology
NA,NA,2013,0007-1145,480,Cambridge University Press (CUP),British Journal of Nutrition
NA,NA,2013,0007-1161,427,BMJ,British Journal of Ophthalmology
http://doi.wiley.com/10.1002/tdm_license_1.1,465,2013,0007-1188,465,Wiley-Blackwell,British Journal of Pharmacology
NA,NA,2013,0007-1234,64,Cambridge University Press (CUP),British Journal of Political Science
NA,NA,2013,0007-1250,367,Royal College of Psychiatrists,The British Journal of Psychiatry
NA,NA,2013,0007-1285,160,British Institute of Radiology,The British Journal of Radiology
http://doi.wiley.com/10.1002/tdm_license_1.1,359,2013,0007-1323,359,Wiley-Blackwell,British Journal of Surgery
NA,NA,2013,0007-1420,42,Oxford University Press (OUP),British Medical Bulletin
NA,NA,2013,0007-1773,31,Informa UK Limited,Journal of the British Society for Phenomenology
http://www.elsevier.com/tdm/userlicense/1.0/,70,2013,0007-4497,73,Elsevier BV,Bulletin des Sciences Mathématiques
http://www.elsevier.com/open-access/userlicense/1.0/,56,2013,0007-4497,73,Elsevier BV,Bulletin des Sciences Mathématiques
NA,NA,2013,0007-4853,84,Cambridge University Press (CUP),Bulletin of Entomological Research
NA,NA,2013,0007-4861,242,Springer Nature,Bulletin of Environmental Contamination and Toxicology
NA,NA,2013,0008-3674,122,Canadian Science Publishing,Canadian Geotechnical Journal
NA,NA,2013,0008-4476,67,Mineralogical Association of Canada,The Canadian Mineralogist
http://doi.wiley.com/10.1002/tdm_license_1.1,630,2013,0008-543X,630,Wiley-Blackwell,Cancer
NA,NA,2013,0008-5472,8580,American Association for Cancer Research (AACR),Cancer Research
http://www.elsevier.com/tdm/userlicense/1.0/,90,2013,0008-6215,308,Elsevier BV,Carbohydrate Research
http://creativecommons.org/licenses/by/3.0/,1,2013,0008-6215,308,Elsevier BV,Carbohydrate Research
http://creativecommons.org/licenses/by-nc-nd/3.0/,1,2013,0008-6215,308,Elsevier BV,Carbohydrate Research
http://www.elsevier.com/tdm/userlicense/1.0/,976,2013,0008-6223,976,Elsevier BV,Carbon
http://creativecommons.org/licenses/by-nc-sa/3.0/,2,2013,0008-6223,976,Elsevier BV,Carbon
http://creativecommons.org/licenses/by-nc-nd/3.0/,2,2013,0008-6223,976,Elsevier BV,Carbon
http://creativecommons.org/licenses/by/3.0/,1,2013,0008-6223,976,Elsevier BV,Carbon
NA,NA,2013,0008-6363,336,Oxford University Press (OUP),Cardiovascular Research
http://www.elsevier.com/tdm/userlicense/1.0/,63,2013,0008-8749,116,Elsevier BV,Cellular Immunology
http://www.elsevier.com/open-access/userlicense/1.0/,2,2013,0008-8749,116,Elsevier BV,Cellular Immunology
http://www.elsevier.com/tdm/userlicense/1.0/,365,2013,0009-2509,762,Elsevier BV,Chemical Engineering Science
http://creativecommons.org/licenses/by/3.0/,6,2013,0009-2509,762,Elsevier BV,Chemical Engineering Science
http://creativecommons.org/licenses/by-nc-nd/3.0/,2,2013,0009-2509,762,Elsevier BV,Chemical Engineering Science
http://creativecommons.org/licenses/by/4.0/,1,2013,0009-2509,762,Elsevier BV,Chemical Engineering Science
http://www.elsevier.com/tdm/userlicense/1.0/,210,2013,0009-2541,425,Elsevier BV,Chemical Geology
http://creativecommons.org/licenses/by/3.0/,6,2013,0009-2541,425,Elsevier BV,Chemical Geology
http://creativecommons.org/licenses/by-nc-sa/3.0/,1,2013,0009-2541,425,Elsevier BV,Chemical Geology
http://creativecommons.org/licenses/by-nc-nd/3.0/,1,2013,0009-2541,425,Elsevier BV,Chemical Geology
http://www.elsevier.com/tdm/userlicense/1.0/,873,2013,0009-2614,1080,Elsevier BV,Chemical Physics Letters
http://creativecommons.org/licenses/by-nc-nd/4.0/,26,2013,0009-2614,1080,Elsevier BV,Chemical Physics Letters
http://www.elsevier.com/open-access/userlicense/1.0/,15,2013,0009-2614,1080,Elsevier BV,Chemical Physics Letters
http://creativecommons.org/licenses/by-nc-nd/3.0/,7,2013,0009-2614,1080,Elsevier BV,Chemical Physics Letters
