dois,license,journal_title,publisher,issued,issn_type.x,issn,year_flipped,issn_type.y
10.1186/s10397-018-1052-6,https://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2018,issn_2,1613-2084,2017,issn
10.1186/s10397-018-1051-7,https://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2018,issn_2,1613-2084,2017,issn
10.1186/s10397-019-1057-9,https://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2019,issn_2,1613-2084,2017,issn
10.1186/s10397-019-1059-7,https://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2019,issn_2,1613-2084,2017,issn
10.1186/s10397-019-1060-1,https://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2019,issn_2,1613-2084,2017,issn
10.1186/s10397-019-1062-z,https://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2019,issn_2,1613-2084,2017,issn
10.1186/s10397-019-1063-y,https://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2019,issn_2,1613-2084,2017,issn
10.1186/s10397-019-1064-x,https://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2019,issn_2,1613-2084,2017,issn
10.1186/s10397-019-1065-9,https://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2019,issn_2,1613-2084,2017,issn
10.1186/s10397-019-1067-7,https://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2019,issn_2,1613-2084,2017,issn
10.1186/s10397-019-1066-8,https://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2019,issn_2,1613-2084,2017,issn
10.1186/s10397-018-1053-5,https://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2018,issn_2,1613-2084,2017,issn
10.1186/s10397-019-1055-y,https://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2019,issn_2,1613-2084,2017,issn
10.1186/s10397-018-1054-4,https://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2019,issn_2,1613-2084,2017,issn
10.1186/s10397-019-1056-x,https://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2019,issn_2,1613-2084,2017,issn
10.1186/s10397-018-1041-9,https://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2018,issn_2,1613-2084,2017,issn
10.1186/s10152-016-0473-8,http://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2016,issn_1,1438-387X,2016,issn
10.1186/s10152-016-0481-8,http://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2016,issn_1,1438-387X,2016,issn
10.1186/s10152-016-0470-y,http://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2016,issn_1,1438-387X,2016,issn
10.1186/s10152-016-0468-5,http://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2016,issn_1,1438-387X,2016,issn
10.1186/s10152-016-0469-4,http://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2016,issn_1,1438-387X,2016,issn
10.1186/s10152-016-0471-x,http://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2016,issn_1,1438-387X,2016,issn
10.1186/s10152-016-0472-9,http://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2016,issn_1,1438-387X,2016,issn
10.1186/s10152-016-0476-5,http://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2016,issn_1,1438-387X,2016,issn
10.1186/s10152-016-0478-3,http://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2016,issn_1,1438-387X,2016,issn
10.1186/s10152-016-0479-2,http://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2016,issn_1,1438-387X,2016,issn
10.1186/s10152-016-0480-9,http://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2016,issn_1,1438-387X,2016,issn
10.1186/s10152-016-0475-6,http://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2016,issn_1,1438-387X,2016,issn
10.1186/s10152-017-0483-1,http://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2017,issn_1,1438-387X,2016,issn
10.1186/s10152-017-0482-2,http://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2017,issn_1,1438-387X,2016,issn
10.1186/s10152-017-0484-0,http://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2017,issn_1,1438-387X,2016,issn
10.1186/s10152-017-0485-z,http://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2017,issn_1,1438-387X,2016,issn
10.1186/s10152-017-0486-y,http://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2017,issn_1,1438-387X,2016,issn
10.1186/s10152-017-0487-x,http://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2017,issn_1,1438-387X,2016,issn
10.1186/s10152-017-0488-9,http://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2017,issn_1,1438-387X,2016,issn
10.1186/s10152-017-0489-8,http://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2017,issn_1,1438-387X,2016,issn
10.1186/s10152-017-0490-2,http://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2017,issn_1,1438-387X,2016,issn
10.1186/s10152-017-0491-1,http://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2017,issn_1,1438-387X,2016,issn
10.1186/s10152-017-0493-z,http://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2017,issn_1,1438-387X,2016,issn
10.1186/s10152-016-0465-8,http://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2016,issn_1,1438-387X,2016,issn
10.1186/s10152-017-0494-y,http://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2017,issn_1,1438-387X,2016,issn
10.1186/s10152-017-0496-9,http://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2017,issn_1,1438-387X,2016,issn
10.1186/s10152-017-0497-8,http://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2017,issn_1,1438-387X,2016,issn
10.1186/s10152-017-0499-6,http://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2017,issn_1,1438-387X,2016,issn
10.1186/s10152-017-0504-0,http://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2018,issn_1,1438-387X,2016,issn
10.1186/s10152-017-0503-1,http://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2018,issn_1,1438-387X,2016,issn
10.1186/s10152-018-0505-7,http://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2018,issn_1,1438-387X,2016,issn
10.1186/s10152-016-0464-9,http://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2016,issn_1,1438-387X,2016,issn
10.1186/s10152-017-0495-x,http://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2017,issn_1,1438-387X,2016,issn
10.1186/s10152-017-0492-0,http://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2017,issn_1,1438-387X,2016,issn
10.1186/s10152-017-0498-7,http://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2017,issn_1,1438-387X,2016,issn
10.1186/s10152-017-0501-3,http://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2017,issn_1,1438-387X,2016,issn
10.1186/s10152-016-0477-4,http://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2016,issn_1,1438-387X,2016,issn
10.1186/s10152-017-0502-2,http://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2017,issn_1,1438-387X,2016,issn
10.1186/s10152-017-0500-4,http://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2017,issn_1,1438-387X,2016,issn
10.1186/s10152-016-0474-7,http://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2016,issn_1,1438-387X,2016,issn
10.1186/s10152-018-0516-4,https://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2018,issn_1,1438-387X,2016,issn
10.1186/s10152-018-0517-3,https://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2018,issn_1,1438-387X,2016,issn
10.1186/s10152-018-0519-1,https://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2018,issn_1,1438-387X,2016,issn
10.1186/s10152-018-0518-2,https://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2018,issn_1,1438-387X,2016,issn
10.1186/s10152-018-0506-6,https://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2018,issn_1,1438-387X,2016,issn
10.1186/s10152-018-0507-5,https://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2018,issn_1,1438-387X,2016,issn
10.1186/s10152-018-0509-3,https://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2018,issn_1,1438-387X,2016,issn
10.1186/s10152-018-0511-9,https://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2018,issn_1,1438-387X,2016,issn
10.1186/s10152-018-0510-x,https://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2018,issn_1,1438-387X,2016,issn
10.1186/s10152-018-0508-4,https://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2018,issn_1,1438-387X,2016,issn
10.1186/s10152-018-0514-6,https://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2018,issn_1,1438-387X,2016,issn
10.1186/s10152-018-0512-8,https://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2018,issn_1,1438-387X,2016,issn
10.1186/s10152-018-0515-5,https://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2018,issn_1,1438-387X,2016,issn
10.1186/s10152-018-0521-7,https://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2018,issn_1,1438-387X,2016,issn
10.1186/s10152-019-0523-0,https://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2019,issn_1,1438-387X,2016,issn
10.1186/s10152-019-0525-y,https://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2019,issn_1,1438-387X,2016,issn
10.1186/s10152-019-0526-x,https://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2019,issn_1,1438-387X,2016,issn
10.1186/s10152-019-0529-7,https://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2019,issn_1,1438-387X,2016,issn
10.1186/s10152-019-0530-1,https://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2019,issn_1,1438-387X,2016,issn
10.1186/s10152-019-0527-9,https://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2019,issn_1,1438-387X,2016,issn
10.1186/s10152-019-0528-8,https://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2019,issn_1,1438-387X,2016,issn
10.1186/s10152-019-0531-0,https://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2019,issn_1,1438-387X,2016,issn
10.1186/s10152-018-0513-7,https://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2018,issn_1,1438-387X,2016,issn
10.1186/s10152-019-0532-z,https://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2019,issn_1,1438-387X,2016,issn
10.1186/s10152-018-0520-8,https://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2018,issn_1,1438-387X,2016,issn
10.1186/s10152-019-0533-y,https://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2020,issn_1,1438-387X,2016,issn
10.1186/s10152-019-0522-1,https://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2019,issn_1,1438-387X,2016,issn
10.1186/s10152-020-0534-x,https://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2020,issn_1,1438-387X,2016,issn
10.1186/s10152-020-0535-9,https://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2020,issn_1,1438-387X,2016,issn
10.1186/s10152-020-0536-8,https://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2020,issn_1,1438-387X,2016,issn
10.1186/s10152-019-0524-z,https://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2019,issn_1,1438-387X,2016,issn
10.1007/bf03183042,http://creativecommons.org/licenses/by-nc-nd/3.0,Raumforschung und Raumordnung,Walter de Gruyter GmbH,2019,issn_1,1869-4179,1998,issn
10.1007/s13147-012-0190-y,http://creativecommons.org/licenses/by-nc-nd/3.0,Raumforschung und Raumordnung,Walter de Gruyter GmbH,2013,issn_1,1869-4179,1998,issn
10.1007/s13147-012-0189-4,http://creativecommons.org/licenses/by-nc-nd/3.0,Raumforschung und Raumordnung,Walter de Gruyter GmbH,2013,issn_1,1869-4179,1998,issn
10.1007/s13147-012-0203-x,http://creativecommons.org/licenses/by-nc-nd/3.0,Raumforschung und Raumordnung,Walter de Gruyter GmbH,2013,issn_1,1869-4179,1998,issn
10.1007/s13147-012-0212-9,http://creativecommons.org/licenses/by-nc-nd/3.0,Raumforschung und Raumordnung,Walter de Gruyter GmbH,2013,issn_1,1869-4179,1998,issn
10.1007/s13147-012-0211-x,http://creativecommons.org/licenses/by-nc-nd/3.0,Raumforschung und Raumordnung,Walter de Gruyter GmbH,2013,issn_1,1869-4179,1998,issn
10.1007/s13147-012-0210-y,http://creativecommons.org/licenses/by-nc-nd/3.0,Raumforschung und Raumordnung,Walter de Gruyter GmbH,2013,issn_1,1869-4179,1998,issn
10.1007/s13147-013-0213-3,http://creativecommons.org/licenses/by-nc-nd/3.0,Raumforschung und Raumordnung,Walter de Gruyter GmbH,2013,issn_1,1869-4179,1998,issn
10.1007/s13147-014-0305-8,http://creativecommons.org/licenses/by-nc-nd/3.0,Raumforschung und Raumordnung,Walter de Gruyter GmbH,2014,issn_1,1869-4179,1998,issn
10.1007/s13147-014-0307-6,http://creativecommons.org/licenses/by-nc-nd/3.0,Raumforschung und Raumordnung,Walter de Gruyter GmbH,2014,issn_1,1869-4179,1998,issn
10.1007/s13147-014-0306-7,http://creativecommons.org/licenses/by-nc-nd/3.0,Raumforschung und Raumordnung,Walter de Gruyter GmbH,2014,issn_1,1869-4179,1998,issn
10.1007/s13147-014-0316-5,http://creativecommons.org/licenses/by-nc-nd/3.0,Raumforschung und Raumordnung,Walter de Gruyter GmbH,2014,issn_1,1869-4179,1998,issn
10.1007/s13147-014-0324-5,http://creativecommons.org/licenses/by-nc-nd/3.0,Raumforschung und Raumordnung,Walter de Gruyter GmbH,2014,issn_1,1869-4179,1998,issn
10.1007/s13147-014-0325-4,http://creativecommons.org/licenses/by-nc-nd/3.0,Raumforschung und Raumordnung,Walter de Gruyter GmbH,2014,issn_1,1869-4179,1998,issn
10.1007/s13147-015-0328-9,http://creativecommons.org/licenses/by-nc-nd/3.0,Raumforschung und Raumordnung,Walter de Gruyter GmbH,2015,issn_1,1869-4179,1998,issn
10.1007/s13147-015-0330-2,http://creativecommons.org/licenses/by-nc-nd/3.0,Raumforschung und Raumordnung,Walter de Gruyter GmbH,2015,issn_1,1869-4179,1998,issn
10.1007/s13147-015-0333-z,http://creativecommons.org/licenses/by-nc-nd/3.0,Raumforschung und Raumordnung,Walter de Gruyter GmbH,2015,issn_1,1869-4179,1998,issn
10.1007/s13147-015-0339-6,http://creativecommons.org/licenses/by-nc-nd/3.0,Raumforschung und Raumordnung,Walter de Gruyter GmbH,2015,issn_1,1869-4179,1998,issn
10.1007/s13147-015-0337-8,http://creativecommons.org/licenses/by-nc-nd/3.0,Raumforschung und Raumordnung,Walter de Gruyter GmbH,2015,issn_1,1869-4179,1998,issn
10.1007/s13147-015-0336-9,http://creativecommons.org/licenses/by-nc-nd/3.0,Raumforschung und Raumordnung,Walter de Gruyter GmbH,2015,issn_1,1869-4179,1998,issn
10.1007/s13147-015-0344-9,http://creativecommons.org/licenses/by-nc-nd/3.0,Raumforschung und Raumordnung,Walter de Gruyter GmbH,2015,issn_1,1869-4179,1998,issn
10.1007/s13147-016-0433-4,http://creativecommons.org/licenses/by-nc-nd/3.0,Raumforschung und Raumordnung,Walter de Gruyter GmbH,2017,issn_1,1869-4179,1998,issn
10.1007/s13147-015-0347-6,http://creativecommons.org/licenses/by-nc-nd/3.0,Raumforschung und Raumordnung,Walter de Gruyter GmbH,2015,issn_1,1869-4179,1998,issn
10.1007/s13147-015-0349-4,http://creativecommons.org/licenses/by-nc-nd/3.0,Raumforschung und Raumordnung,Walter de Gruyter GmbH,2015,issn_1,1869-4179,1998,issn
10.1007/s13147-015-0350-y,http://creativecommons.org/licenses/by-nc-nd/3.0,Raumforschung und Raumordnung,Walter de Gruyter GmbH,2015,issn_1,1869-4179,1998,issn
10.1007/s13147-015-0352-9,http://creativecommons.org/licenses/by-nc-nd/3.0,Raumforschung und Raumordnung,Walter de Gruyter GmbH,2015,issn_1,1869-4179,1998,issn
10.1007/s13147-015-0351-x,http://creativecommons.org/licenses/by-nc-nd/3.0,Raumforschung und Raumordnung,Walter de Gruyter GmbH,2015,issn_1,1869-4179,1998,issn
10.1007/s13147-016-0449-9,http://creativecommons.org/licenses/by-nc-nd/3.0,Raumforschung und Raumordnung,Walter de Gruyter GmbH,2017,issn_1,1869-4179,1998,issn
10.1007/s13147-016-0452-1,http://creativecommons.org/licenses/by-nc-nd/3.0,Raumforschung und Raumordnung,Walter de Gruyter GmbH,2016,issn_1,1869-4179,1998,issn
10.1007/s13147-015-0353-8,http://creativecommons.org/licenses/by-nc-nd/3.0,Raumforschung und Raumordnung,Walter de Gruyter GmbH,2015,issn_1,1869-4179,1998,issn
10.1007/s13147-016-0446-z,http://creativecommons.org/licenses/by-nc-nd/3.0,Raumforschung und Raumordnung,Walter de Gruyter GmbH,2016,issn_1,1869-4179,1998,issn
10.1007/s13147-016-0463-y,http://creativecommons.org/licenses/by-nc-nd/3.0,Raumforschung und Raumordnung,Walter de Gruyter GmbH,2017,issn_1,1869-4179,1998,issn
10.1007/s13147-015-0359-2,http://creativecommons.org/licenses/by-nc-nd/3.0,Raumforschung und Raumordnung,Walter de Gruyter GmbH,2015,issn_1,1869-4179,1998,issn
10.1007/s13147-015-0358-3,http://creativecommons.org/licenses/by-nc-nd/3.0,Raumforschung und Raumordnung,Walter de Gruyter GmbH,2015,issn_1,1869-4179,1998,issn
10.1007/s13147-015-0363-6,http://creativecommons.org/licenses/by-nc-nd/3.0,Raumforschung und Raumordnung,Walter de Gruyter GmbH,2015,issn_1,1869-4179,1998,issn
10.1007/s13147-015-0365-4,http://creativecommons.org/licenses/by-nc-nd/3.0,Raumforschung und Raumordnung,Walter de Gruyter GmbH,2015,issn_1,1869-4179,1998,issn
10.1007/s13147-015-0371-6,http://creativecommons.org/licenses/by-nc-nd/3.0,Raumforschung und Raumordnung,Walter de Gruyter GmbH,2015,issn_1,1869-4179,1998,issn
10.1007/s13147-016-0376-9,http://creativecommons.org/licenses/by-nc-nd/3.0,Raumforschung und Raumordnung,Walter de Gruyter GmbH,2016,issn_1,1869-4179,1998,issn
10.1007/s13147-016-0377-8,http://creativecommons.org/licenses/by-nc-nd/3.0,Raumforschung und Raumordnung,Walter de Gruyter GmbH,2016,issn_1,1869-4179,1998,issn
10.1007/s13147-016-0379-6,http://creativecommons.org/licenses/by-nc-nd/3.0,Raumforschung und Raumordnung,Walter de Gruyter GmbH,2016,issn_1,1869-4179,1998,issn
10.1007/s13147-016-0378-7,http://creativecommons.org/licenses/by-nc-nd/3.0,Raumforschung und Raumordnung,Walter de Gruyter GmbH,2016,issn_1,1869-4179,1998,issn
10.1007/s13147-016-0382-y,http://creativecommons.org/licenses/by-nc-nd/3.0,Raumforschung und Raumordnung,Walter de Gruyter GmbH,2016,issn_1,1869-4179,1998,issn
10.1007/s13147-016-0390-y,http://creativecommons.org/licenses/by-nc-nd/3.0,Raumforschung und Raumordnung,Walter de Gruyter GmbH,2016,issn_1,1869-4179,1998,issn
10.1007/s13147-016-0413-8,http://creativecommons.org/licenses/by-nc-nd/3.0,Raumforschung und Raumordnung,Walter de Gruyter GmbH,2016,issn_1,1869-4179,1998,issn
