journal_title,publisher,year,yearly_jn_volume,license,license_ref_n,yearly_publisher_volume
Journal of Materials Engineering and Performance,Springer Nature,2018,320,http://creativecommons.org/licenses/by/4.0,10,77031
Advances in Health Sciences Education,Springer Nature,2014,100,NA,NA,161462
Advances in Health Sciences Education,Springer Nature,2015,82,http://creativecommons.org/licenses/by/4.0,5,165397
Advances in Health Sciences Education,Springer Nature,2016,80,http://creativecommons.org/licenses/by/4.0,18,173019
Advances in Health Sciences Education,Springer Nature,2017,65,http://creativecommons.org/licenses/by/4.0,19,175964
Advances in Health Sciences Education,Springer Nature,2013,44,NA,NA,150563
Advances in Health Sciences Education,Springer Nature,2018,26,http://creativecommons.org/licenses/by/4.0,4,77031
Journal of Business Ethics,Springer Nature,2014,506,http://creativecommons.org/licenses/by/4.0,1,161462
Journal of Business Ethics,Springer Nature,2015,479,http://creativecommons.org/licenses/by/4.0,27,165397
Journal of Business Ethics,Springer Nature,2016,412,http://creativecommons.org/licenses/by/4.0,41,173019
Journal of Business Ethics,Springer Nature,2013,409,NA,NA,150563
Journal of Business Ethics,Springer Nature,2017,357,http://creativecommons.org/licenses/by/4.0,50,175964
Journal of Business Ethics,Springer Nature,2018,140,http://creativecommons.org/licenses/by/4.0,20,77031
Journal of Electronic Materials,Springer Nature,2016,906,http://creativecommons.org/licenses/by/4.0,20,173019
Journal of Electronic Materials,Springer Nature,2017,832,http://creativecommons.org/licenses/by/4.0,19,175964
Journal of Electronic Materials,Springer Nature,2015,716,NA,NA,165397
Journal of Electronic Materials,Springer Nature,2014,628,http://creativecommons.org/licenses/by/4.0,1,161462
Journal of Electronic Materials,Springer Nature,2013,569,NA,NA,150563
Journal of Electronic Materials,Springer Nature,2018,350,http://creativecommons.org/licenses/by/4.0,7,77031
Journal of Neurology,Springer Nature,2013,417,NA,NA,150563
Journal of Neurology,Springer Nature,2016,394,http://creativecommons.org/licenses/by/4.0,57,173019
Journal of Neurology,Springer Nature,2014,394,NA,NA,161462
Journal of Neurology,Springer Nature,2015,354,http://creativecommons.org/licenses/by/4.0,7,165397
Journal of Neurology,Springer Nature,2017,343,http://creativecommons.org/licenses/by/4.0,71,175964
Journal of Neurology,Springer Nature,2018,181,http://creativecommons.org/licenses/by/4.0,34,77031
International Review of Education,Springer Nature,2017,88,http://creativecommons.org/licenses/by/4.0,3,175964
International Review of Education,Springer Nature,2016,78,http://creativecommons.org/licenses/by/4.0,1,173019
International Review of Education,Springer Nature,2014,68,NA,NA,161462
International Review of Education,Springer Nature,2015,66,NA,NA,165397
International Review of Education,Springer Nature,2013,64,NA,NA,150563
International Review of Education,Springer Nature,2018,21,http://creativecommons.org/licenses/by/4.0,1,77031
Motivation and Emotion,Springer Nature,2014,74,NA,NA,161462
Motivation and Emotion,Springer Nature,2015,67,NA,NA,165397
Motivation and Emotion,Springer Nature,2016,66,http://creativecommons.org/licenses/by/4.0,4,173019
Motivation and Emotion,Springer Nature,2017,65,http://creativecommons.org/licenses/by/4.0,6,175964
Motivation and Emotion,Springer Nature,2013,54,NA,NA,150563
Motivation and Emotion,Springer Nature,2018,40,http://creativecommons.org/licenses/by/4.0,4,77031
Ethical Theory and Moral Practice,Springer Nature,2015,119,http://creativecommons.org/licenses/by/4.0,3,165397
Ethical Theory and Moral Practice,Springer Nature,2016,95,http://creativecommons.org/licenses/by/4.0,9,173019
Ethical Theory and Moral Practice,Springer Nature,2013,85,NA,NA,150563
Ethical Theory and Moral Practice,Springer Nature,2017,76,http://creativecommons.org/licenses/by/4.0,21,175964
Ethical Theory and Moral Practice,Springer Nature,2014,72,NA,NA,161462
Ethical Theory and Moral Practice,Springer Nature,2018,40,http://creativecommons.org/licenses/by/4.0,10,77031
Quality of Life Research,Springer Nature,2015,304,http://creativecommons.org/licenses/by/4.0,15,165397
Quality of Life Research,Springer Nature,2014,289,NA,NA,161462
Quality of Life Research,Springer Nature,2017,284,http://creativecommons.org/licenses/by/4.0,64,175964
Quality of Life Research,Springer Nature,2016,275,http://creativecommons.org/licenses/by/4.0,47,173019
Quality of Life Research,Springer Nature,2013,265,NA,NA,150563
Quality of Life Research,Springer Nature,2018,114,http://creativecommons.org/licenses/by/4.0,27,77031
Public Organization Review,Springer Nature,2013,50,NA,NA,150563
Public Organization Review,Springer Nature,2015,36,http://creativecommons.org/licenses/by/4.0,4,165397
Public Organization Review,Springer Nature,2016,34,http://creativecommons.org/licenses/by/4.0,2,173019
Public Organization Review,Springer Nature,2014,34,NA,NA,161462
Public Organization Review,Springer Nature,2017,29,http://creativecommons.org/licenses/by/4.0,3,175964
Public Organization Review,Springer Nature,2018,5,NA,NA,77031
Brain Structure and Function,Springer Nature,2014,277,NA,NA,161462
Brain Structure and Function,Springer Nature,2017,239,http://creativecommons.org/licenses/by/4.0,58,175964
Brain Structure and Function,Springer Nature,2015,198,http://creativecommons.org/licenses/by/4.0,22,165397
Brain Structure and Function,Springer Nature,2013,195,NA,NA,150563
Brain Structure and Function,Springer Nature,2016,177,http://creativecommons.org/licenses/by/4.0,50,173019
Brain Structure and Function,Springer Nature,2018,88,http://creativecommons.org/licenses/by/4.0,21,77031
Basic Research in Cardiology,Springer Nature,2013,76,NA,NA,150563
Basic Research in Cardiology,Springer Nature,2016,72,http://creativecommons.org/licenses/by/4.0,15,173019
Basic Research in Cardiology,Springer Nature,2015,69,NA,NA,165397
Basic Research in Cardiology,Springer Nature,2017,66,http://creativecommons.org/licenses/by/4.0,15,175964
Basic Research in Cardiology,Springer Nature,2014,57,NA,NA,161462
Basic Research in Cardiology,Springer Nature,2018,16,http://creativecommons.org/licenses/by/4.0,3,77031
Engineering with Computers,Springer Nature,2017,74,http://creativecommons.org/licenses/by/4.0,4,175964
Engineering with Computers,Springer Nature,2016,69,http://creativecommons.org/licenses/by/4.0,3,173019
Engineering with Computers,Springer Nature,2018,47,http://creativecommons.org/licenses/by/4.0,5,77031
Engineering with Computers,Springer Nature,2014,43,NA,NA,161462
Engineering with Computers,Springer Nature,2013,38,NA,NA,150563
Engineering with Computers,Springer Nature,2015,35,NA,NA,165397
Ecological Research,Springer Nature,2017,125,http://creativecommons.org/licenses/by-nc/4.0,1,175964
Ecological Research,Springer Nature,2017,125,http://creativecommons.org/licenses/by/4.0,14,175964
Ecological Research,Springer Nature,2014,114,NA,NA,161462
Ecological Research,Springer Nature,2013,104,NA,NA,150563
Ecological Research,Springer Nature,2016,99,http://creativecommons.org/licenses/by/4.0,10,173019
Ecological Research,Springer Nature,2015,94,NA,NA,165397
Ecological Research,Springer Nature,2018,65,http://creativecommons.org/licenses/by/4.0,8,77031
Public Choice,Springer Nature,2017,98,http://creativecommons.org/licenses/by/4.0,10,175964
Public Choice,Springer Nature,2013,95,NA,NA,150563
Public Choice,Springer Nature,2015,88,NA,NA,165397
Public Choice,Springer Nature,2016,86,http://creativecommons.org/licenses/by/4.0,7,173019
Public Choice,Springer Nature,2014,82,NA,NA,161462
Public Choice,Springer Nature,2018,65,http://creativecommons.org/licenses/by/4.0,3,77031
Archives of Sexual Behavior,Springer Nature,2016,233,http://creativecommons.org/licenses/by/4.0,11,173019
Archives of Sexual Behavior,Springer Nature,2015,231,http://creativecommons.org/licenses/by/4.0,2,165397
Archives of Sexual Behavior,Springer Nature,2017,209,http://creativecommons.org/licenses/by/4.0,19,175964
Archives of Sexual Behavior,Springer Nature,2014,202,NA,NA,161462
Archives of Sexual Behavior,Springer Nature,2013,187,NA,NA,150563
Archives of Sexual Behavior,Springer Nature,2018,94,http://creativecommons.org/licenses/by/4.0,11,77031
Behavioral Ecology and Sociobiology,Springer Nature,2016,206,http://creativecommons.org/licenses/by/4.0,16,173019
