period,journal_title,country,hybrid_type,oapc_n_year
2013,Current Genetics,AUT,Open APC (Hybrid),1
2013,Current Opinion in Biotechnology,AUT,Open APC (Hybrid),1
2013,Current Opinion in Cell Biology,AUT,Open APC (Hybrid),1
2013,Current Opinion in Environmental Sustainability,AUT,Open APC (Hybrid),3
2013,Current Opinion in Genetics & Development,AUT,Open APC (Hybrid),1
2013,Current Opinion in Immunology,AUT,Open APC (Hybrid),1
2013,Current Opinion in Microbiology,AUT,Open APC (Hybrid),2
2013,Current Opinion in Neurobiology,AUT,Open APC (Hybrid),1
2013,Cytogenetic and Genome Research,AUT,Open APC (Hybrid),1
2013,Dalton Transactions,GBR,Open APC (Hybrid),1
2013,Decision Support Systems,AUT,Open APC (Hybrid),1
2013,Development,GBR,Open APC (Hybrid),1
2013,Developmental Biology,AUT,Open APC (Hybrid),1
2013,Differential Geometry and its Applications,AUT,Open APC (Hybrid),1
2013,Digital Signal Processing,GBR,Open APC (Hybrid),1
2013,Discrete Mathematics,AUT,Open APC (Hybrid),2
2013,DNA Repair,AUT,Open APC (Hybrid),1
2013,Earth and Planetary Science Letters,AUT,Open APC (Hybrid),1
2013,Earth and Planetary Science Letters,CHE,Open APC (Hybrid),1
2013,Earth and Planetary Science Letters,GBR,Open APC (Hybrid),1
2013,Ecological Economics,AUT,Open APC (Hybrid),1
2013,Ecological Indicators,AUT,Open APC (Hybrid),1
2013,Ecology Letters,GBR,Open APC (Hybrid),2
2013,Ecology of Freshwater Fish,AUT,Open APC (Hybrid),1
2013,Economics Letters,AUT,Open APC (Hybrid),1
2013,Electoral Studies,AUT,Open APC (Hybrid),1
2013,Electrochimica Acta,GBR,Open APC (Hybrid),1
2013,Electronic Notes in Discrete Mathematics,AUT,Open APC (Hybrid),1
2013,ELECTROPHORESIS,AUT,Open APC (Hybrid),1
2013,"Emotion, Space and Society",CHE,Open APC (Hybrid),1
2013,Energy Policy,AUT,Open APC (Hybrid),1
2013,Energy Policy,GBR,Open APC (Hybrid),2
2013,Engineering Analysis with Boundary Elements,AUT,Open APC (Hybrid),1
2013,Engineering Geology,AUT,Open APC (Hybrid),1
2013,Entomologia Experimentalis et Applicata,AUT,Open APC (Hybrid),1
2013,Environmental and Experimental Botany,AUT,Open APC (Hybrid),1
2013,Environmental Microbiology,AUT,Open APC (Hybrid),2
2013,Environmental Microbiology,GBR,Open APC (Hybrid),1
2013,Environmental Microbiology Reports,AUT,Open APC (Hybrid),1
2013,Environmental Modelling & Software,AUT,Open APC (Hybrid),3
2013,Environmental Pollution,AUT,Open APC (Hybrid),1
2013,Environmental Science & Technology,AUT,Open APC (Hybrid),2
2013,Environmental Science & Technology,GBR,Open APC (Hybrid),1
2013,Environmental Science and Pollution Research,CHE,Open APC (Hybrid),1
2013,European Economic Review,AUT,Open APC (Hybrid),1
2013,European Journal of Cancer,AUT,Open APC (Hybrid),1
2013,European Journal of Combinatorics,AUT,Open APC (Hybrid),3
2013,European Journal of Immunology,AUT,Open APC (Hybrid),1
2013,European Journal of Inorganic Chemistry,AUT,Open APC (Hybrid),5
2013,European Journal of Medical Genetics,AUT,Open APC (Hybrid),1
2013,European Journal of Neuroscience,AUT,Open APC (Hybrid),1
2013,European Journal of Operational Research,AUT,Open APC (Hybrid),1
2013,European Journal of Oral Sciences,AUT,Open APC (Hybrid),1
2013,European Journal of Organic Chemistry,AUT,Open APC (Hybrid),6
2013,European Journal of Personality,AUT,Open APC (Hybrid),1
2013,European Journal of Personality,GBR,Open APC (Hybrid),1
2013,European Journal of Plant Pathology,AUT,Open APC (Hybrid),1
2013,European Journal of Political Research,AUT,Open APC (Hybrid),1
2013,European Journal of Protistology,AUT,Open APC (Hybrid),4
2013,European Journal of Radiology,AUT,Open APC (Hybrid),1
2013,European Journal of Soil Biology,AUT,Open APC (Hybrid),2
2013,European Journal of Soil Science,GBR,Open APC (Hybrid),1
2013,Evolution,AUT,Open APC (Hybrid),1
2013,Evolution,GBR,Open APC (Hybrid),1
2013,Experimental and Applied Acarology,AUT,Open APC (Hybrid),1
2013,Experimental Cell Research,AUT,Open APC (Hybrid),6
2013,Experimental Gerontology,AUT,Open APC (Hybrid),1
2013,Experimental Neurology,AUT,Open APC (Hybrid),1
2013,Experimental Parasitology,AUT,Open APC (Hybrid),1
2013,Experimental Physiology,AUT,Open APC (Hybrid),1
2013,FEBS Journal,AUT,Open APC (Hybrid),1
2013,FEBS Letters,AUT,Open APC (Hybrid),2
2013,Food Chemistry,AUT,Open APC (Hybrid),1
2013,Forensic Science International: Genetics,AUT,Open APC (Hybrid),4
2013,Free Radical Biology and Medicine,AUT,Open APC (Hybrid),4
2013,Freshwater Biology,AUT,Open APC (Hybrid),1
2013,Functional Ecology,AUT,Open APC (Hybrid),1
2013,Fungal Genetics and Biology,AUT,Open APC (Hybrid),1
2013,General and Comparative Endocrinology,AUT,Open APC (Hybrid),1
2013,Geochimica et Cosmochimica Acta,AUT,Open APC (Hybrid),1
2013,Geomorphology,AUT,Open APC (Hybrid),2
2013,Geophysical Research Letters,AUT,Open APC (Hybrid),3
2013,Geophysical Research Letters,GBR,Open APC (Hybrid),1
2013,Glia,AUT,Open APC (Hybrid),1
2013,Global Change Biology,AUT,Open APC (Hybrid),1
2013,Global Change Biology,GBR,Open APC (Hybrid),1
2013,Glycoconjugate Journal,AUT,Open APC (Hybrid),1
2013,Green Chemistry,AUT,Open APC (Hybrid),1
2013,Group Decision and Negotiation,AUT,Open APC (Hybrid),1
2013,Heredity,AUT,Open APC (Hybrid),1
2013,Hormones and Behavior,AUT,Open APC (Hybrid),1
2013,Human Studies,AUT,Open APC (Hybrid),1
2013,Hydrobiologia,AUT,Open APC (Hybrid),1
2013,IEEE Geoscience and Remote Sensing Letters,AUT,Open APC (Hybrid),1
2013,IEEE Transactions on Automatic Control,AUT,Open APC (Hybrid),1
2013,IEEE Transactions on Information Theory,AUT,Open APC (Hybrid),1
2013,IEEE Transactions on Plasma Science,AUT,Open APC (Hybrid),1
2013,"IEEE Transactions on Ultrasonics, Ferroelectrics, and Frequency Control",AUT,Open APC (Hybrid),1
2013,Immunity,AUT,Open APC (Hybrid),2
2013,Immunobiology,AUT,Open APC (Hybrid),1
2013,Immunology Letters,AUT,Open APC (Hybrid),2
2013,Infant Behavior and Development,AUT,Open APC (Hybrid),1
2013,Information Systems,AUT,Open APC (Hybrid),1
2013,Injury,AUT,Open APC (Hybrid),1
2013,Inorganic Chemistry,AUT,Open APC (Hybrid),6
2013,Inorganic Chemistry,GBR,Open APC (Hybrid),2
2013,Inorganic Chemistry Communications,AUT,Open APC (Hybrid),1
2013,Inorganica Chimica Acta,AUT,Open APC (Hybrid),3
2013,Intelligence,AUT,Open APC (Hybrid),1
2013,Intermetallics,AUT,Open APC (Hybrid),3
2013,International Biodeterioration & Biodegradation,AUT,Open APC (Hybrid),1
2013,International Immunopharmacology,AUT,Open APC (Hybrid),1
2013,International Journal for Numerical Methods in Biomedical Engineering,GBR,Open APC (Hybrid),1
2013,International Journal for Numerical Methods in Engineering,AUT,Open APC (Hybrid),1
2013,International Journal of Cancer,AUT,Open APC (Hybrid),1
2013,International Journal of Climatology,GBR,Open APC (Hybrid),1
2013,International Journal of Earth Sciences,AUT,Open APC (Hybrid),1
2013,International Journal of Heat and Mass Transfer,AUT,Open APC (Hybrid),1
2013,International Journal of Medical Informatics,AUT,Open APC (Hybrid),1
2013,International Journal of Medical Microbiology,AUT,Open APC (Hybrid),1
2013,International Journal of Production Economics,GBR,Open APC (Hybrid),1
2013,International Journal of Thermophysics,AUT,Open APC (Hybrid),1
2013,Invertebrate Biology,AUT,Open APC (Hybrid),1
2013,Israel Journal of Chemistry,AUT,Open APC (Hybrid),1
2013,IUBMB Life,AUT,Open APC (Hybrid),1
2013,Journal of Abnormal Child Psychology,GBR,Open APC (Hybrid),1
2013,Journal of Aging Studies,CAN,Open APC (Hybrid),1
2013,Journal of Agricultural and Food Chemistry,AUT,Open APC (Hybrid),1
2013,Journal of Algebra,AUT,Open APC (Hybrid),1
2013,Journal of Analytical and Applied Pyrolysis,AUT,Open APC (Hybrid),1
2013,Journal of Animal Ecology,CAN,Open APC (Hybrid),1
2013,Journal of Animal Ecology,GBR,Open APC (Hybrid),1
2013,Journal of Applied Physics,AUT,Open APC (Hybrid),3
2013,Journal of Automated Reasoning,AUT,Open APC (Hybrid),1
2013,Journal of Biomedical Informatics,GBR,Open APC (Hybrid),1
2013,Journal of Biotechnology,AUT,Open APC (Hybrid),3
2013,Journal of Biotechnology,CAN,Open APC (Hybrid),1
2013,Journal of Business Research,AUT,Open APC (Hybrid),1
2013,Journal of Cardiac Failure,AUT,Open APC (Hybrid),1
2013,Journal of Catalysis,AUT,Open APC (Hybrid),2
2013,Journal of Cell Science,AUT,Open APC (Hybrid),2
2013,Journal of Chemical Theory and Computation,AUT,Open APC (Hybrid),2
2013,Journal of Chromatography A,AUT,Open APC (Hybrid),1
2013,Journal of Chromatography B,AUT,Open APC (Hybrid),1
2013,Journal of Climate,AUT,Open APC (Hybrid),1
2013,Journal of Colloid and Interface Science,AUT,Open APC (Hybrid),1
2013,Journal of Colloid and Interface Science,GBR,Open APC (Hybrid),1
2013,"Journal of Combinatorial Theory, Series A",AUT,Open APC (Hybrid),2
2013,Journal of Computational and Applied Mathematics,AUT,Open APC (Hybrid),1
2013,Journal of Computational Chemistry,AUT,Open APC (Hybrid),2
2013,Journal of Computational Physics,AUT,Open APC (Hybrid),2
2013,Journal of Computational Physics,GBR,Open APC (Hybrid),1
2013,Journal of Computational Science,AUT,Open APC (Hybrid),1
2013,Journal of Computer and System Sciences,AUT,Open APC (Hybrid),1
2013,Journal of Computer-Aided Molecular Design,AUT,Open APC (Hybrid),1
2013,Journal of Controlled Release,AUT,Open APC (Hybrid),1
2013,Journal of Economic Dynamics and Control,AUT,Open APC (Hybrid),2
2013,Journal of Economic Psychology,AUT,Open APC (Hybrid),1
2013,Journal of Economic Theory,AUT,Open APC (Hybrid),1
2013,Journal of Environmental Radioactivity,AUT,Open APC (Hybrid),1
2013,Journal of Ethnopharmacology,AUT,Open APC (Hybrid),1
2013,Journal of Eukaryotic Microbiology,AUT,Open APC (Hybrid),1
2013,Journal of Evolutionary Biology,AUT,Open APC (Hybrid),1
2013,Journal of Experimental Biology,AUT,Open APC (Hybrid),4
2013,Journal of Experimental Child Psychology,AUT,Open APC (Hybrid),2
2013,Journal of Experimental Social Psychology,AUT,Open APC (Hybrid),1
2013,Journal of Fish Diseases,AUT,Open APC (Hybrid),1
2013,Journal of Functional Analysis,AUT,Open APC (Hybrid),2
2013,Journal of Geodynamics,AUT,Open APC (Hybrid),1
2013,Journal of Geophysical Research: Atmospheres,CAN,Open APC (Hybrid),1
2013,Journal of Geophysical Research: Atmospheres,GBR,Open APC (Hybrid),2
2013,Journal of Geophysical Research: Earth Surface,GBR,Open APC (Hybrid),1
2013,Journal of Geophysical Research: Solid Earth,AUT,Open APC (Hybrid),1
2013,Journal of Geophysical Research: Space Physics,AUT,Open APC (Hybrid),1
2013,Journal of Geophysical Research: Space Physics,GBR,Open APC (Hybrid),1
2013,Journal of Hazardous Materials,GBR,Open APC (Hybrid),1
2013,Journal of Immunological Methods,AUT,Open APC (Hybrid),1
2013,Journal of Industrial Ecology,AUT,Open APC (Hybrid),1
2013,"Journal of Infrared, Millimeter, and Terahertz Waves",AUT,Open APC (Hybrid),1
2013,Journal of Inorganic Biochemistry,AUT,Open APC (Hybrid),1
2013,Journal of Insect Physiology,AUT,Open APC (Hybrid),1
2013,Journal of Invertebrate Pathology,AUT,Open APC (Hybrid),1
2013,Journal of Magnetic Resonance,AUT,Open APC (Hybrid),1
2013,Journal of Magnetic Resonance,GBR,Open APC (Hybrid),1
2013,Journal of Magnetism and Magnetic Materials,AUT,Open APC (Hybrid),1
2013,Journal of Materials Chemistry A,AUT,Open APC (Hybrid),1
2013,Journal of Materials Chemistry B,AUT,Open APC (Hybrid),1
2013,Journal of Materials Chemistry C,GBR,Open APC (Hybrid),1
2013,Journal of Mathematical Analysis and Applications,AUT,Open APC (Hybrid),5
2013,Journal of Mathematical Biology,AUT,Open APC (Hybrid),1
2013,Journal of Medicinal Chemistry,AUT,Open APC (Hybrid),4
2013,Journal of Medicinal Chemistry,GBR,Open APC (Hybrid),1
2013,Journal of Molecular and Cellular Cardiology,AUT,Open APC (Hybrid),1
2013,Journal of Molecular Biology,AUT,Open APC (Hybrid),4
2013,Journal of Molecular Biology,CHE,Open APC (Hybrid),1
2013,Journal of Molecular Catalysis B: Enzymatic,AUT,Open APC (Hybrid),1
2013,Journal of Molecular Liquids,AUT,Open APC (Hybrid),1
2013,Journal of Natural Products,AUT,Open APC (Hybrid),1
2013,Journal of Neurochemistry,GBR,Open APC (Hybrid),1
2013,Journal of Neuroendocrinology,AUT,Open APC (Hybrid),1
2013,Journal of Neuroimmunology,AUT,Open APC (Hybrid),1
2013,Journal of Neurology,AUT,Open APC (Hybrid),1
2013,Journal of Neuroscience Methods,AUT,Open APC (Hybrid),1
2013,Journal of Nuclear Materials,AUT,Open APC (Hybrid),2
2013,Journal of Nuclear Materials,GBR,Open APC (Hybrid),2
2013,Journal of Number Theory,AUT,Open APC (Hybrid),3
2013,Journal of Organometallic Chemistry,AUT,Open APC (Hybrid),1
2013,Journal of Phycology,AUT,Open APC (Hybrid),1
2013,Journal of Phycology,GBR,Open APC (Hybrid),1
2013,Journal of Physics A: Mathematical and Theoretical,AUT,Open APC (Hybrid),1
2013,Journal of Physics: Condensed Matter,AUT,Open APC (Hybrid),1
2013,Journal of Phytopathology,AUT,Open APC (Hybrid),1
2013,Journal of Polymer Science Part A: Polymer Chemistry,AUT,Open APC (Hybrid),1
2013,Journal of Power Sources,GBR,Open APC (Hybrid),1
2013,Journal of Proteome Research,AUT,Open APC (Hybrid),6
2013,Journal of Proteomics,AUT,Open APC (Hybrid),2
2013,Journal of Psychiatric Research,AUT,Open APC (Hybrid),1
2013,Journal of Pure and Applied Algebra,AUT,Open APC (Hybrid),1
2013,Journal of Quaternary Science,AUT,Open APC (Hybrid),1
2013,Journal of Quaternary Science,GBR,Open APC (Hybrid),1
2013,Journal of Soils and Sediments,AUT,Open APC (Hybrid),1
2013,Journal of Solid State Chemistry,AUT,Open APC (Hybrid),1
2013,Journal of Sound and Vibration,GBR,Open APC (Hybrid),1
2013,Journal of South American Earth Sciences,AUT,Open APC (Hybrid),1
2013,Journal of Statistical Planning and Inference,AUT,Open APC (Hybrid),1
2013,Journal of Structural Biology,AUT,Open APC (Hybrid),1
2013,Journal of Structural Geology,AUT,Open APC (Hybrid),3
2013,Journal of Symbolic Computation,AUT,Open APC (Hybrid),1
2013,Journal of the American Chemical Society,AUT,Open APC (Hybrid),9
2013,Journal of the American Chemical Society,GBR,Open APC (Hybrid),2
2013,Journal of The American Society for Mass Spectrometry,AUT,Open APC (Hybrid),1
2013,Journal of the European Ceramic Society,GBR,Open APC (Hybrid),1
2013,Journal of the Mechanical Behavior of Biomedical Materials,AUT,Open APC (Hybrid),2
2013,Journal of Theoretical Biology,AUT,Open APC (Hybrid),3
2013,Journal of Thrombosis and Haemostasis,AUT,Open APC (Hybrid),1
2013,Journal of Visual Communication and Image Representation,AUT,Open APC (Hybrid),1
2013,Journal of Voice,AUT,Open APC (Hybrid),1
2013,Journal of Zoological Systematics and Evolutionary Research,AUT,Open APC (Hybrid),1
2013,Langmuir,AUT,Open APC (Hybrid),2
2013,Langmuir,GBR,Open APC (Hybrid),2
2013,Lasers in Surgery and Medicine,AUT,Open APC (Hybrid),1
2013,Law and Philosophy,GBR,Open APC (Hybrid),1
2013,Learning and Motivation,AUT,Open APC (Hybrid),1
2013,Leukemia,AUT,Open APC (Hybrid),1
2013,Leukemia Research,AUT,Open APC (Hybrid),1
2013,Limnologica - Ecology and Management of Inland Waters,AUT,Open APC (Hybrid),1
2013,Linear Algebra and its Applications,AUT,Open APC (Hybrid),1
2013,Macromolecules,AUT,Open APC (Hybrid),2
2013,Magnetic Resonance in Medicine,AUT,Open APC (Hybrid),1
2013,Magnetic Resonance in Medicine,GBR,Open APC (Hybrid),1
2013,Marine and Petroleum Geology,AUT,Open APC (Hybrid),1
2013,Marine Biology,AUT,Open APC (Hybrid),1
2013,Materials Characterization,AUT,Open APC (Hybrid),1
2013,Materials Science and Engineering: A,AUT,Open APC (Hybrid),2
2013,Mathematical Social Sciences,AUT,Open APC (Hybrid),1
2013,Mechanics of Materials,GBR,Open APC (Hybrid),1
2013,Mechanisms of Development,AUT,Open APC (Hybrid),1
2013,Medical Image Analysis,AUT,Open APC (Hybrid),2
2013,Medical Physics,AUT,Open APC (Hybrid),1
2013,Metallomics,AUT,Open APC (Hybrid),2
2013,Meteoritics & Planetary Science,AUT,Open APC (Hybrid),1
2013,Methods,AUT,Open APC (Hybrid),4
2013,Micron,AUT,Open APC (Hybrid),2
2013,Microporous and Mesoporous Materials,AUT,Open APC (Hybrid),1
2013,Microprocessors and Microsystems,AUT,Open APC (Hybrid),1
2013,Mineralogy and Petrology,AUT,Open APC (Hybrid),2
2013,Molecular and Cellular Endocrinology,AUT,Open APC (Hybrid),1
2013,Molecular Cell,AUT,Open APC (Hybrid),3
2013,Molecular Ecology,AUT,Open APC (Hybrid),3
2013,Molecular Ecology Resources,AUT,Open APC (Hybrid),2
2013,Molecular Imaging and Biology,AUT,Open APC (Hybrid),1
2013,Molecular Informatics,AUT,Open APC (Hybrid),3
2013,Molecular Microbiology,AUT,Open APC (Hybrid),3
2013,Molecular Nutrition & Food Research,AUT,Open APC (Hybrid),1
2013,Molecular Pharmaceutics,AUT,Open APC (Hybrid),2
2013,Molecular Phylogenetics and Evolution,AUT,Open APC (Hybrid),5
2013,Molecular Physics,AUT,Open APC (Hybrid),1
2013,Molecular Plant,AUT,Open APC (Hybrid),2
2013,Molecular Plant Pathology,AUT,Open APC (Hybrid),1
2013,Monatshefte für Chemie - Chemical Monthly,AUT,Open APC (Hybrid),1
2013,Monatshefte für Mathematik,AUT,Open APC (Hybrid),1
2013,Multimedia Systems,AUT,Open APC (Hybrid),1
2013,Mycological Progress,AUT,Open APC (Hybrid),1
2013,Nano Letters,AUT,Open APC (Hybrid),9
2013,Nanoscale,GBR,Open APC (Hybrid),1
2013,Natural Hazards,CAN,Open APC (Hybrid),1
2013,Naunyn-Schmiedeberg's Archives of Pharmacology,AUT,Open APC (Hybrid),1
2013,Neural Networks,GBR,Open APC (Hybrid),1
2013,Neurocomputing,AUT,Open APC (Hybrid),1
2013,NeuroImage,AUT,Open APC (Hybrid),4
